"",BBK01.OEAA18L,BBK01.OEAA18L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:22,
2002-01,47.140,
2002-04,41.823,
2002-07,41.627,
2002-10,38.645,
2003-01,47.841,
2003-04,44.255,
2003-07,46.321,
2003-10,44.239,
2004-01,41.708,
2004-04,36.633,
2004-07,36.370,
2004-10,38.800,
2005-01,43.467,
2005-04,45.301,
2005-07,56.866,
2005-10,49.627,
2006-01,56.595,
2006-04,61.423,
2006-07,61.280,
2006-10,42.973,
2007-01,57.049,
2007-04,59.688,
2007-07,55.245,
2007-10,52.384,
2008-01,62.902,
2008-04,60.003,
2008-07,59.084,
2008-10,65.322,
2009-01,77.114,
2009-04,69.049,
2009-07,61.128,
2009-10,52.352,
2010-01,42.365,
2010-04,48.370,
2010-07,37.204,
2010-10,38.817,
2011-01,44.892,
2011-04,47.112,
2011-07,47.106,
2011-10,47.401,
2012-01,47.464,
2012-04,43.732,
2012-07,45.201,
2012-10,44.617,
2013-01,51.091,
2013-04,59.293,
2013-07,24.871,
2013-10,23.346,
2014-01,23.849,
2014-04,24.439,
2014-07,24.648,
