"",BBK01.OECB14N,BBK01.OECB14N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:51,
2002-01,1.390,
2002-04,1.337,
2002-07,1.281,
2002-10,1.378,
2003-01,1.209,
2003-04,1.178,
2003-07,1.141,
2003-10,1.163,
2004-01,1.026,
2004-04,0.951,
2004-07,0.916,
2004-10,0.895,
2005-01,0.867,
2005-04,0.854,
2005-07,0.820,
2005-10,0.837,
2006-01,0.787,
2006-04,0.764,
2006-07,0.763,
2006-10,0.741,
2007-01,0.699,
2007-04,0.661,
2007-07,0.620,
2007-10,0.636,
2008-01,0.616,
2008-04,0.595,
2008-07,0.564,
2008-10,0.584,
2009-01,0.537,
2009-04,0.549,
2009-07,0.544,
2009-10,0.537,
2010-01,0.528,
2010-04,0.528,
2010-07,0.531,
2010-10,0.520,
2011-01,0.447,
2011-04,0.429,
2011-07,0.424,
2011-10,0.395,
2012-01,0.388,
2012-04,0.389,
2012-07,0.383,
2012-10,0.388,
2013-01,0.412,
2013-04,0.366,
2013-07,0.361,
2013-10,0.369,
2014-01,0.363,
2014-04,0.360,
2014-07,0.358,
