"",BBK01.OEAG03S,BBK01.OEAG03S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:35,
2002-01,1.510,
2002-04,1.506,
2002-07,1.544,
2002-10,1.698,
2003-01,1.627,
2003-04,1.616,
2003-07,1.648,
2003-10,1.758,
2004-01,1.640,
2004-04,1.712,
2004-07,1.722,
2004-10,2.272,
2005-01,2.387,
2005-04,2.423,
2005-07,2.427,
2005-10,2.344,
2006-01,2.338,
2006-04,2.352,
2006-07,2.423,
2006-10,2.357,
2007-01,2.456,
2007-04,2.547,
2007-07,2.657,
2007-10,2.592,
2008-01,2.695,
2008-04,2.897,
2008-07,3.082,
2008-10,3.039,
2009-01,3.038,
2009-04,3.240,
2009-07,3.250,
2009-10,3.339,
2010-01,3.489,
2010-04,3.788,
2010-07,3.813,
2010-10,3.730,
2011-01,3.901,
2011-04,4.173,
2011-07,4.355,
2011-10,4.447,
2012-01,4.511,
2012-04,4.446,
2012-07,4.423,
2012-10,4.464,
2013-01,4.310,
2013-04,4.194,
2013-07,4.116,
2013-10,3.979,
2014-01,3.911,
2014-04,3.677,
2014-07,3.692,
