"",BBFN1.M.DE.N.1.L.S1.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.S1.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Countries in Asia,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:24:39,
1995-01,4.870,
1995-02,4.760,
1995-03,4.779,
1995-04,4.777,
1995-05,4.786,
1995-06,4.768,
1995-07,4.784,
1995-08,4.762,
1995-09,5.074,
1995-10,5.182,
1995-11,5.211,
1995-12,5.044,
1996-01,5.073,
1996-02,5.146,
1996-03,5.205,
1996-04,5.285,
1996-05,5.163,
1996-06,5.145,
1996-07,5.159,
1996-08,5.168,
1996-09,5.430,
1996-10,5.590,
1996-11,5.461,
1996-12,5.863,
1997-01,5.890,
1997-02,5.949,
1997-03,5.895,
1997-04,5.967,
1997-05,6.009,
1997-06,6.112,
1997-07,5.988,
1997-08,5.944,
1997-09,5.996,
1997-10,6.133,
1997-11,6.021,
1997-12,6.128,
1998-01,6.221,
1998-02,6.296,
1998-03,6.284,
1998-04,6.397,
1998-05,6.415,
1998-06,6.587,
1998-07,6.279,
1998-08,6.383,
1998-09,6.209,
1998-10,6.356,
1998-11,6.399,
1998-12,6.291,
1999-01,6.344,
1999-02,6.449,
1999-03,6.237,
1999-04,6.506,
1999-05,6.513,
1999-06,6.560,
1999-07,6.361,
1999-08,6.504,
1999-09,6.411,
1999-10,6.931,
1999-11,5.687,
1999-12,5.511,
2000-01,5.556,
2000-02,5.600,
2000-03,5.643,
2000-04,5.657,
2000-05,5.604,
2000-06,5.719,
2000-07,5.781,
2000-08,5.931,
2000-09,5.806,
2000-10,5.785,
2000-11,5.824,
2000-12,5.998,
2001-01,5.893,
2001-02,5.992,
2001-03,6.016,
2001-04,5.960,
2001-05,5.833,
2001-06,5.981,
2001-07,5.912,
2001-08,6.028,
2001-09,5.962,
2001-10,6.080,
2001-11,6.441,
2001-12,6.445,
2002-01,6.515,
2002-02,6.675,
2002-03,6.028,
2002-04,5.932,
2002-05,5.914,
2002-06,5.967,
2002-07,6.095,
2002-08,6.028,
2002-09,6.098,
2002-10,6.227,
2002-11,5.953,
2002-12,5.998,
2003-01,9.397,
2003-02,9.456,
2003-03,9.290,
2003-04,9.385,
2003-05,9.394,
2003-06,9.275,
2003-07,9.726,
2003-08,9.355,
2003-09,8.991,
2003-10,7.746,
2003-11,7.945,
2003-12,6.046,
2004-01,5.982,
2004-02,5.889,
2004-03,6.287,
2004-04,6.134,
2004-05,6.021,
2004-06,6.235,
2004-07,6.087,
2004-08,6.246,
2004-09,6.155,
2004-10,6.211,
2004-11,6.010,
2004-12,6.010,
2005-01,5.442,
2005-02,5.254,
2005-03,5.384,
2005-04,5.361,
2005-05,4.562,
2005-06,4.758,
2005-07,4.605,
2005-08,4.674,
2005-09,4.851,
2005-10,4.655,
2005-11,4.801,
2005-12,4.853,
2006-01,4.836,
2006-02,4.775,
2006-03,4.935,
2006-04,4.601,
2006-05,5.091,
2006-06,5.259,
2006-07,5.418,
2006-08,5.508,
2006-09,5.477,
2006-10,5.658,
2006-11,5.325,
2006-12,5.346,
2007-01,5.638,
2007-02,5.668,
2007-03,6.418,
2007-04,5.788,
2007-05,5.688,
2007-06,6.057,
2007-07,6.271,
2007-08,6.436,
2007-09,6.353,
2007-10,6.313,
2007-11,6.174,
2007-12,6.226,
2008-01,6.161,
2008-02,7.120,
2008-03,7.092,
2008-04,7.016,
2008-05,7.145,
2008-06,7.244,
2008-07,7.222,
2008-08,7.397,
2008-09,7.700,
2008-10,8.146,
2008-11,8.480,
2008-12,8.020,
2009-01,8.011,
2009-02,7.951,
2009-03,7.238,
2009-04,7.477,
2009-05,8.146,
2009-06,8.141,
2009-07,8.732,
2009-08,8.685,
2009-09,9.113,
2009-10,8.918,
2009-11,9.320,
2009-12,14.556,
2010-01,14.825,
2010-02,15.074,
2010-03,14.656,
2010-04,15.347,
2010-05,15.861,
2010-06,16.355,
2010-07,16.094,
2010-08,16.270,
2010-09,16.227,
2010-10,16.086,
2010-11,17.021,
2010-12,17.156,
2011-01,17.158,
2011-02,17.057,
2011-03,17.467,
2011-04,17.027,
2011-05,17.231,
2011-06,17.244,
2011-07,17.212,
2011-08,17.330,
2011-09,17.683,
2011-10,17.315,
2011-11,17.861,
2011-12,18.103,
2012-01,18.063,
2012-02,17.974,
2012-03,18.226,
2012-04,18.182,
2012-05,17.861,
2012-06,17.843,
2012-07,18.344,
2012-08,18.159,
2012-09,18.499,
2012-10,17.761,
2012-11,17.909,
2012-12,18.736,
2013-01,18.477,
2013-02,18.566,
2013-03,19.048,
2013-04,19.194,
2013-05,19.138,
2013-06,17.863,
2013-07,17.755,
2013-08,17.898,
2013-09,18.699,
2013-10,18.515,
2013-11,18.683,
2013-12,18.476,
2014-01,18.343,
2014-02,19.603,
2014-03,17.959,
2014-04,17.838,
2014-05,18.112,
2014-06,18.368,
2014-07,17.937,
2014-08,18.042,
2014-09,18.906,
2014-10,19.342,
2014-11,18.979,
2014-12,20.245,
