"",BBFB1.M.N.DE.W1.S1.S1.T.D.D443.P.F52._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.D.D443.P.F52._Z._T._X.N_FLAGS
2005-03,309.499,
2005-04,32.610,
2005-05,35.204,
2005-06,284.291,
2005-07,43.996,
2005-08,139.148,
2005-09,207.954,
2005-10,24.370,
2005-11,257.317,
2005-12,286.072,
2006-01,130.519,
2006-02,212.382,
2006-03,473.878,
2006-04,21.672,
2006-05,31.410,
2006-06,284.580,
2006-07,83.440,
2006-08,107.646,
2006-09,144.099,
2006-10,55.840,
2006-11,268.640,
2006-12,299.858,
2007-01,198.470,
2007-02,229.346,
2007-03,240.642,
2007-04,38.988,
2007-05,78.474,
2007-06,122.502,
2007-07,298.189,
2007-08,103.204,
2007-09,62.737,
2007-10,68.401,
2007-11,369.507,
2007-12,335.900,
2008-01,179.857,
2008-02,194.454,
2008-03,219.445,
2008-04,33.633,
2008-05,49.455,
2008-06,120.886,
2008-07,199.423,
2008-08,91.058,
2008-09,74.361,
2008-10,53.064,
2008-11,319.743,
2008-12,296.196,
2009-01,112.025,
2009-02,113.242,
2009-03,150.526,
2009-04,61.994,
2009-05,123.009,
2009-06,103.884,
2009-07,90.976,
2009-08,66.485,
2009-09,77.919,
2009-10,57.622,
2009-11,195.835,
2009-12,517.985,
2010-01,88.639,
2010-02,84.959,
2010-03,109.825,
2010-04,75.740,
2010-05,88.441,
2010-06,217.878,
2010-07,101.043,
2010-08,44.519,
2010-09,53.328,
2010-10,127.182,
2010-11,178.090,
2010-12,438.785,
2011-01,138.505,
2011-02,129.196,
2011-03,253.854,
2011-04,43.456,
2011-05,310.963,
2011-06,194.607,
2011-07,144.614,
2011-08,36.383,
2011-09,55.896,
2011-10,39.079,
2011-11,277.486,
2011-12,217.509,
2012-01,147.275,
2012-02,60.116,
2012-03,114.560,
2012-04,76.004,
2012-05,112.481,
2012-06,127.729,
2012-07,269.524,
2012-08,42.723,
2012-09,54.933,
2012-10,49.246,
2012-11,225.766,
2012-12,618.985,
2013-01,84.218,
2013-02,62.968,
2013-03,109.768,
2013-04,100.042,
2013-05,136.374,
2013-06,140.272,
2013-07,130.385,
2013-08,48.310,
2013-09,169.604,
2013-10,137.323,
2013-11,212.174,
2013-12,302.150,
2014-01,68.444,
2014-02,65.467,Provisional value
2014-03,126.860,Provisional value
2014-04,129.863,Provisional value
2014-05,145.966,Provisional value
2014-06,103.332,Provisional value
2014-07,559.472,Provisional value
2014-08,30.336,Provisional value
2014-09,109.063,
2014-10,264.972,
2014-11,93.907,
2014-12,487.589,Provisional value
