"",BBFB1.Q.N.DE.FI.S1.S1.T.L.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.FI.S1.S1.T.L.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Finland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:41:13,
1991-01,111.751,
1991-04,48.955,
1991-07,-45.770,
1991-10,6.862,
1992-01,-191.048,
1992-04,44.518,
1992-07,-9.750,
1992-10,44.607,
1993-01,215.852,
1993-04,-257.466,
1993-07,128.168,
1993-10,99.281,
1994-01,-107.998,
1994-04,11.229,
1994-07,193.054,
1994-10,-94.107,
1995-01,-29.389,
1995-04,152.735,
1995-07,83.586,
1995-10,197.035,
1996-01,-142.287,
1996-04,105.272,
1996-07,12.340,
1996-10,-50.822,
1997-01,148.144,
1997-04,299.303,
1997-07,-279.741,
1997-10,-211.016,
1998-01,22.649,
1998-04,230.697,
1998-07,-276.131,
1998-10,924.896,
1999-01,-604.991,
1999-04,24.732,
1999-07,23.621,
1999-10,145.283,
2000-01,1032.204,
2000-04,-15.021,
2000-07,-1174.977,
2000-10,852.024,
2001-01,-800.952,
2001-04,375.396,
2001-07,720.655,
2001-10,376.363,
2002-01,-915.737,
2002-04,1565.748,
2002-07,-639.618,
2002-10,-1096.058,
2003-01,171.017,
2003-04,739.312,
2003-07,575.032,
2003-10,-2098.724,
2004-01,-377.682,
2004-04,851.188,
2004-07,-323.975,
2004-10,54.133,
2005-01,199.501,
2005-04,-124.559,
2005-07,-92.034,
2005-10,1476.080,
2006-01,-555.100,
2006-04,800.953,
2006-07,487.371,
2006-10,548.768,
2007-01,-779.126,
2007-04,2168.035,
2007-07,-1421.768,
2007-10,-787.813,
2008-01,633.167,
2008-04,84.622,
2008-07,2173.848,
2008-10,-1513.507,
2009-01,940.440,
2009-04,-1241.674,
2009-07,1660.029,
2009-10,-726.698,
2010-01,-1657.968,
2010-04,397.191,
2010-07,63.231,
2010-10,-344.853,
2011-01,441.477,
2011-04,-469.069,
2011-07,67.771,
2011-10,68.846,
2012-01,783.958,
2012-04,3204.540,
2012-07,2392.762,
2012-10,-1866.249,
2013-01,707.843,
2013-04,3678.428,
2013-07,-1964.915,
2013-10,836.242,
2014-01,2129.630,Provisional value
2014-04,-1332.534,Provisional value
2014-07,-541.971,Provisional value
2014-10,-1344.123,Provisional value
