"",BBK01.OEAB13I,BBK01.OEAB13I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:43,
2002-01,14.566,
2002-04,14.345,
2002-07,13.592,
2002-10,13.470,
2003-01,13.141,
2003-04,12.978,
2003-07,12.897,
2003-10,12.553,
2004-01,12.239,
2004-04,12.152,
2004-07,12.407,
2004-10,12.070,
2005-01,12.127,
2005-04,12.004,
2005-07,12.106,
2005-10,11.623,
2006-01,11.701,
2006-04,12.011,
2006-07,11.650,
2006-10,11.473,
2007-01,11.210,
2007-04,11.042,
2007-07,10.822,
2007-10,10.332,
2008-01,10.360,
2008-04,10.284,
2008-07,10.199,
2008-10,10.028,
2009-01,10.013,
2009-04,10.861,
2009-07,10.764,
2009-10,10.653,
2010-01,10.433,
2010-04,10.003,
2010-07,9.939,
2010-10,9.715,
2011-01,9.810,
2011-04,9.732,
2011-07,9.610,
2011-10,9.460,
2012-01,9.356,
2012-04,10.765,
2012-07,10.713,
2012-10,10.692,
2013-01,10.636,
2013-04,10.638,
2013-07,10.676,
2013-10,10.751,
2014-01,10.817,
2014-04,10.799,
2014-07,10.819,
