"",BBK01.OEAC18L,BBK01.OEAC18L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:33,
2002-01,2.745,
2002-04,2.632,
2002-07,1.709,
2002-10,1.076,
2003-01,1.435,
2003-04,1.036,
2003-07,0.609,
2003-10,0.563,
2004-01,0.626,
2004-04,0.891,
2004-07,0.710,
2004-10,0.452,
2005-01,0.434,
2005-04,0.374,
2005-07,0.377,
2005-10,0.424,
2006-01,0.539,
2006-04,0.468,
2006-07,0.538,
2006-10,0.498,
2007-01,0.622,
2007-04,0.553,
2007-07,0.656,
2007-10,0.915,
2008-01,0.623,
2008-04,0.729,
2008-07,0.896,
2008-10,0.734,
2009-01,0.931,
2009-04,0.910,
2009-07,0.892,
2009-10,0.733,
2010-01,0.917,
2010-04,0.871,
2010-07,0.779,
2010-10,0.678,
2011-01,1.025,
2011-04,0.918,
2011-07,0.977,
2011-10,0.958,
2012-01,1.496,
2012-04,1.426,
2012-07,1.320,
2012-10,1.438,
2013-01,1.591,
2013-04,1.249,
2013-07,1.216,
2013-10,1.338,
2014-01,1.287,
2014-04,1.423,
2014-07,1.239,
