"",BBDE1.M.DE.W.GUA1.P2XG71020.A.V.I10.A,BBDE1.M.DE.W.GUA1.P2XG71020.A.V.I10.A_FLAGS
"","Turnover / At current prices, flows / Germany / 47.11+47.2+47.81 Retail trade of groceries, beverages and tobacco / Calendar adjusted only",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-26 14:18:59,
1994-01,76.3,
1994-02,75.1,
1994-03,85.0,
1994-04,82.6,
1994-05,82.0,
1994-06,79.5,
1994-07,82.3,
1994-08,79.1,
1994-09,77.0,
1994-10,81.1,
1994-11,82.8,
1994-12,98.9,
1995-01,75.6,
1995-02,76.3,
1995-03,88.2,
1995-04,85.4,
1995-05,86.9,
1995-06,84.9,
1995-07,86.5,
1995-08,84.6,
1995-09,81.0,
1995-10,83.5,
1995-11,85.6,
1995-12,100.8,
1996-01,78.3,
1996-02,77.8,
1996-03,86.3,
1996-04,86.4,
1996-05,85.2,
1996-06,83.2,
1996-07,84.5,
1996-08,83.1,
1996-09,79.7,
1996-10,85.6,
1996-11,86.4,
1996-12,99.3,
1997-01,77.8,
1997-02,74.9,
1997-03,85.5,
1997-04,85.0,
1997-05,85.5,
1997-06,81.4,
1997-07,82.8,
1997-08,82.4,
1997-09,79.9,
1997-10,85.9,
1997-11,85.7,
1997-12,98.4,
1998-01,77.6,
1998-02,75.8,
1998-03,86.0,
1998-04,86.5,
1998-05,87.3,
1998-06,81.5,
1998-07,84.2,
1998-08,82.9,
1998-09,80.6,
1998-10,84.2,
1998-11,89.4,
1998-12,102.1,
1999-01,79.2,
1999-02,77.5,
1999-03,89.6,
1999-04,84.9,
1999-05,86.1,
1999-06,82.3,
1999-07,84.9,
1999-08,82.3,
1999-09,80.3,
1999-10,85.1,
1999-11,88.3,
1999-12,102.9,
2000-01,78.9,
2000-02,78.4,
2000-03,90.5,
2000-04,87.8,
2000-05,88.7,
2000-06,85.5,
2000-07,85.5,
2000-08,84.0,
2000-09,82.1,
2000-10,87.3,
2000-11,90.0,
2000-12,104.1,
2001-01,81.4,
2001-02,79.2,
2001-03,93.3,
2001-04,91.6,
2001-05,93.3,
2001-06,89.9,
2001-07,91.1,
2001-08,88.8,
2001-09,86.7,
2001-10,91.5,
2001-11,94.4,
2001-12,108.0,
2002-01,83.7,
2002-02,82.8,
2002-03,95.8,
2002-04,95.6,
2002-05,94.7,
2002-06,90.8,
2002-07,92.9,
2002-08,91.2,
2002-09,89.8,
2002-10,94.7,
2002-11,95.8,
2002-12,109.6,
2003-01,84.1,
2003-02,83.9,
2003-03,97.3,
2003-04,94.5,
2003-05,96.1,
2003-06,93.0,
2003-07,95.0,
2003-08,93.3,
2003-09,91.1,
2003-10,97.5,
2003-11,98.8,
2003-12,111.7,
2004-01,89.2,
2004-02,87.7,
2004-03,99.9,
2004-04,98.9,
2004-05,97.9,
2004-06,95.4,
2004-07,98.7,
2004-08,96.2,
2004-09,92.9,
2004-10,98.4,
2004-11,100.6,
2004-12,116.4,
2005-01,93.2,
2005-02,92.2,
2005-03,103.5,
2005-04,101.2,
2005-05,102.3,
2005-06,100.5,
2005-07,100.2,
2005-08,97.9,
2005-09,95.4,
2005-10,100.8,
2005-11,102.0,
2005-12,117.6,
2006-01,92.6,
2006-02,92.7,
2006-03,102.8,
2006-04,101.8,
2006-05,102.5,
2006-06,101.3,
2006-07,104.5,
2006-08,98.2,
2006-09,95.5,
2006-10,98.8,
2006-11,100.3,
2006-12,117.8,
2007-01,93.9,
2007-02,92.4,
2007-03,103.1,
2007-04,103.8,
2007-05,101.3,
2007-06,98.3,
2007-07,100.2,
2007-08,97.2,
2007-09,95.7,
2007-10,101.8,
2007-11,100.8,
2007-12,113.0,
2008-01,94.0,
2008-02,91.6,
2008-03,103.5,
2008-04,102.7,
2008-05,102.6,
2008-06,99.1,
2008-07,100.4,
2008-08,100.3,
2008-09,98.2,
2008-10,103.5,
2008-11,102.8,
2008-12,117.3,
2009-01,92.2,
2009-02,89.5,
2009-03,101.1,
2009-04,102.7,
2009-05,103.1,
2009-06,96.6,
2009-07,98.3,
2009-08,99.4,
2009-09,94.5,
2009-10,98.8,
2009-11,98.6,
2009-12,117.4,
2010-01,93.1,
2010-02,89.7,
2010-03,102.9,
2010-04,99.5,
2010-05,101.8,
2010-06,98.8,
2010-07,102.3,
2010-08,97.5,
2010-09,95.0,
2010-10,101.5,
2010-11,100.9,
2010-12,119.3,
2011-01,93.2,
2011-02,91.9,
2011-03,104.2,
2011-04,104.2,
2011-05,101.1,
2011-06,103.1,
2011-07,103.3,
2011-08,100.6,
2011-09,98.2,
2011-10,104.7,
2011-11,104.0,
2011-12,121.2,
2012-01,94.7,
2012-02,94.3,
2012-03,106.7,
2012-04,106.7,
2012-05,107.1,
2012-06,105.5,
2012-07,104.7,
2012-08,103.7,
2012-09,102.3,
2012-10,106.9,
2012-11,106.8,
2012-12,122.2,
2013-01,99.6,
2013-02,97.8,
2013-03,111.8,
2013-04,108.4,
2013-05,110.2,
2013-06,110.0,
2013-07,111.8,
2013-08,107.9,
2013-09,103.5,
2013-10,110.8,
2013-11,112.1,
2013-12,124.2,
2014-01,101.3,Provisional value
2014-02,100.6,Provisional value
2014-03,115.7,Provisional value
2014-04,113.5,Provisional value
2014-05,111.6,Provisional value
2014-06,113.8,Provisional value
2014-07,112.2,Provisional value
2014-08,108.7,Provisional value
2014-09,106.1,Provisional value
2014-10,113.6,Provisional value
2014-11,112.9,Provisional value
2014-12,128.5,Provisional value
