"",BBK01.OEXI05U,BBK01.OEXI05U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:59,
2002-01,0.038,
2002-04,0.039,
2002-07,0.035,
2002-10,0.036,
2003-01,0.035,
2003-04,0.036,
2003-07,0.035,
2003-10,0.033,
2004-01,0.031,
2004-04,0.028,
2004-07,0.029,
2004-10,0.008,
2005-01,0.008,
2005-04,0.007,
2005-07,0.008,
2005-10,0.008,
2006-01,0.009,
2006-04,0.010,
2006-07,0.012,
2006-10,0.025,
2007-01,0.025,
2007-04,0.026,
2007-07,0.026,
2007-10,0.027,
2008-01,0.024,
2008-04,0.022,
2008-07,0.021,
2008-10,0.018,
2009-01,0.024,
2009-04,0.034,
2009-07,0.038,
2009-10,0.043,
2010-01,0.045,
2010-04,0.046,
2010-07,0.048,
2010-10,0.051,
2011-01,0.060,
2011-04,0.063,
2011-07,0.062,
2011-10,0.064,
2012-01,0.098,
2012-04,0.103,
2012-07,0.098,
2012-10,0.101,
2013-01,0.099,
2013-04,0.102,
2013-07,0.101,
2013-10,0.112,
2014-01,0.109,
2014-04,0.188,
2014-07,0.191,
