"",BBK01.OEAD21I,BBK01.OEAD21I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:07,
2002-01,0.237,
2002-04,0.255,
2002-07,0.242,
2002-10,0.254,
2003-01,0.250,
2003-04,0.268,
2003-07,0.238,
2003-10,0.237,
2004-01,0.232,
2004-04,0.227,
2004-07,0.227,
2004-10,0.217,
2005-01,0.220,
2005-04,0.261,
2005-07,0.247,
2005-10,0.270,
2006-01,0.239,
2006-04,0.264,
2006-07,0.285,
2006-10,0.292,
2007-01,0.346,
2007-04,0.330,
2007-07,0.373,
2007-10,0.362,
2008-01,0.308,
2008-04,0.438,
2008-07,0.485,
2008-10,0.454,
2009-01,0.423,
2009-04,0.445,
2009-07,0.416,
2009-10,0.415,
2010-01,0.314,
2010-04,0.302,
2010-07,0.252,
2010-10,0.245,
2011-01,0.319,
2011-04,0.280,
2011-07,0.276,
2011-10,0.353,
2012-01,0.386,
2012-04,0.398,
2012-07,0.403,
2012-10,0.445,
2013-01,0.456,
2013-04,0.430,
2013-07,0.446,
2013-10,0.430,
2014-01,0.391,
2014-04,0.387,
2014-07,0.381,
