"",BBFB1.Q.N.DE.SE.S1.S1.T.B.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.SE.S1.S1.T.B.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Balance / Sweden,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:30:40,
1991-01,62.106,
1991-04,74.573,
1991-07,-20.407,
1991-10,-24.011,
1992-01,75.932,
1992-04,76.838,
1992-07,10.025,
1992-10,19.840,
1993-01,2.470,
1993-04,3.585,
1993-07,-147.737,
1993-10,-104.480,
1994-01,-2.373,
1994-04,25.342,
1994-07,-149.616,
1994-10,-91.618,
1995-01,38.029,
1995-04,19.914,
1995-07,-151.182,
1995-10,-92.723,
1996-01,31.699,
1996-04,45.313,
1996-07,-127.900,
1996-10,-81.887,
1997-01,39.538,
1997-04,61.153,
1997-07,-103.450,
1997-10,-40.870,
1998-01,57.967,
1998-04,79.883,
1998-07,-164.109,
1998-10,-107.901,
1999-01,46.001,
1999-04,113.716,
1999-07,-101.793,
1999-10,-54.245,
2000-01,116.359,
2000-04,176.312,
2000-07,-72.164,
2000-10,-60.150,
2001-01,122.364,
2001-04,201.061,
2001-07,-32.141,
2001-10,-1.679,
2002-01,29.998,
2002-04,102.340,
2002-07,-5.282,
2002-10,-33.540,
2003-01,56.930,
2003-04,-15.335,
2003-07,-214.886,
2003-10,-58.434,
2004-01,-71.932,
2004-04,19.427,
2004-07,-145.696,
2004-10,-40.839,
2005-01,-25.500,
2005-04,42.609,
2005-07,-121.726,
2005-10,59.081,
2006-01,47.125,
2006-04,151.945,
2006-07,-181.856,
2006-10,37.590,
2007-01,20.540,
2007-04,-50.276,
2007-07,-115.947,
2007-10,6.645,
2008-01,-43.463,
2008-04,130.608,
2008-07,92.663,
2008-10,36.268,
2009-01,246.071,
2009-04,192.878,
2009-07,20.011,
2009-10,205.215,
2010-01,119.932,
2010-04,-8.768,
2010-07,-127.856,
2010-10,-79.829,
2011-01,-11.411,
2011-04,0.608,
2011-07,-261.096,
2011-10,113.017,
2012-01,80.507,
2012-04,43.126,
2012-07,-105.501,
2012-10,101.861,
2013-01,15.855,
2013-04,180.558,
2013-07,-162.155,
2013-10,103.649,
2014-01,132.686,Provisional value
2014-04,125.944,Provisional value
2014-07,-57.197,Provisional value
