"",BBK01.OEAH87S,BBK01.OEAH87S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:30:36,
2002-01,0.446,
2002-04,0.444,
2002-07,0.445,
2002-10,0.447,
2003-01,0.485,
2003-04,0.481,
2003-07,0.480,
2003-10,0.644,
2004-01,0.634,
2004-04,0.633,
2004-07,0.630,
2004-10,0.688,
2005-01,0.763,
2005-04,0.738,
2005-07,0.759,
2005-10,0.816,
2006-01,0.833,
2006-04,0.891,
2006-07,0.844,
2006-10,1.083,
2007-01,1.031,
2007-04,1.050,
2007-07,1.173,
2007-10,1.432,
2008-01,1.408,
2008-04,1.382,
2008-07,1.420,
2008-10,1.432,
2009-01,1.506,
2009-04,0.249,
2009-07,0.244,
2009-10,0.293,
2010-01,0.294,
2010-04,0.291,
2010-07,0.242,
2010-10,0.167,
2011-01,0.142,
2011-04,0.183,
2011-07,0.183,
2011-10,0.155,
2012-01,0.154,
2012-04,0.130,
2012-07,0.131,
2012-10,0.049,
2013-01,0.050,
2013-04,0.050,
2013-07,0.050,
2013-10,0.115,
2014-01,0.114,
2014-04,0.115,
2014-07,0.115,
