"",BBFB1.Q.N.DE.W1.S1.S1.T.A.FA.F.F7.T._T.T.N,BBFB1.Q.N.DE.W1.S1.S1.T.A.FA.F.F7.T._T.T.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Financial derivates and employee stock options / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:39:59,
1991-01,64.652,
1991-04,-665.815,
1991-07,243.788,
1991-10,36.816,
1992-01,-97.398,
1992-04,211.802,
1992-07,-205.492,
1992-10,326.573,
1993-01,-274.741,
1993-04,177.759,
1993-07,920.011,
1993-10,-255.391,
1994-01,-387.091,
1994-04,-1319.799,
1994-07,203.557,
1994-10,735.088,
1995-01,-12.479,
1995-04,-498.285,
1995-07,115.802,
1995-10,810.733,
1996-01,107.063,
1996-04,-459.953,
1996-07,684.335,
1996-10,4137.777,
1997-01,2412.408,
1997-04,886.694,
1997-07,3863.503,
1997-10,599.939,
1998-01,2074.786,
1998-04,4778.821,
1998-07,-8536.142,
1998-10,8512.626,
1999-01,-1558.601,
1999-04,792.862,
1999-07,-4147.636,
1999-10,7091.255,
2000-01,3606.505,
2000-04,-263.389,
2000-07,5596.806,
2000-10,3523.111,
2001-01,-3734.725,
2001-04,-8487.159,
2001-07,4254.228,
2001-10,1137.976,
2002-01,-1677.628,
2002-04,-1405.628,
2002-07,3834.702,
2002-10,-255.033,
2003-01,-2323.209,
2003-04,3146.345,
2003-07,476.402,
2003-10,213.654,
2004-01,1313.749,
2004-04,2871.541,
2004-07,-1863.831,
2004-10,4256.216,
2005-01,6156.989,
2005-04,3475.741,
2005-07,-4868.567,
2005-10,3197.068,
2006-01,4923.475,
2006-04,-3139.819,
2006-07,925.406,
2006-10,1794.638,
2007-01,8311.932,
2007-04,12060.613,
2007-07,31864.095,
2007-10,31333.180,
2008-01,18122.846,
2008-04,17146.833,
2008-07,618.303,
2008-10,-8236.792,
2009-01,-17096.455,
2009-04,626.651,
2009-07,7569.015,
2009-10,2058.018,
2010-01,2495.052,
2010-04,5034.095,
2010-07,6580.444,
2010-10,-570.344,
2011-01,6698.562,
2011-04,5025.458,
2011-07,8714.494,
2011-10,6270.571,
2012-01,1921.457,
2012-04,11583.446,
2012-07,6344.614,
2012-10,5769.843,
2013-01,5773.089,
2013-04,4709.795,
2013-07,1619.505,
2013-10,6043.168,
2014-01,5030.048,Provisional value
2014-04,9023.587,Provisional value
2014-07,6785.080,Provisional value
2014-10,6723.057,Provisional value
