"",BBK01.OEXO02M,BBK01.OEXO02M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:06,
2002-01,0.987,
2002-04,0.754,
2002-07,0.730,
2002-10,0.704,
2003-01,0.922,
2003-04,0.674,
2003-07,0.638,
2003-10,0.607,
2004-01,0.701,
2004-04,0.544,
2004-07,0.510,
2004-10,0.592,
2005-01,0.709,
2005-04,0.551,
2005-07,0.509,
2005-10,0.567,
2006-01,0.730,
2006-04,0.632,
2006-07,0.582,
2006-10,0.681,
2007-01,1.049,
2007-04,0.758,
2007-07,0.719,
2007-10,0.852,
2008-01,0.858,
2008-04,0.714,
2008-07,0.801,
2008-10,1.449,
2009-01,0.826,
2009-04,0.655,
2009-07,0.755,
2009-10,0.737,
2010-01,0.865,
2010-04,0.699,
2010-07,0.498,
2010-10,0.881,
2011-01,1.175,
2011-04,0.591,
2011-07,0.554,
2011-10,0.626,
2012-01,0.632,
2012-04,0.478,
2012-07,0.474,
2012-10,0.521,
2013-01,0.485,
2013-04,0.409,
2013-07,0.388,
2013-10,0.384,
2014-01,0.462,
2014-04,0.354,
2014-07,0.578,
