"",BBK01.OEAD20K,BBK01.OEAD20K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:40,
2002-01,0.611,
2002-04,0.580,
2002-07,0.546,
2002-10,0.563,
2003-01,0.518,
2003-04,0.531,
2003-07,0.384,
2003-10,0.476,
2004-01,0.520,
2004-04,0.463,
2004-07,0.516,
2004-10,0.479,
2005-01,0.424,
2005-04,0.460,
2005-07,0.490,
2005-10,0.459,
2006-01,0.522,
2006-04,0.597,
2006-07,0.495,
2006-10,0.409,
2007-01,0.418,
2007-04,0.423,
2007-07,0.410,
2007-10,0.409,
2008-01,0.440,
2008-04,0.412,
2008-07,0.367,
2008-10,0.350,
2009-01,0.388,
2009-04,0.301,
2009-07,0.265,
2009-10,0.231,
2010-01,0.292,
2010-04,0.291,
2010-07,0.361,
2010-10,0.370,
2011-01,0.407,
2011-04,0.428,
2011-07,0.417,
2011-10,0.463,
2012-01,0.443,
2012-04,0.387,
2012-07,0.395,
2012-10,0.457,
2013-01,0.368,
2013-04,0.428,
2013-07,0.445,
2013-10,0.401,
2014-01,0.396,
2014-04,0.314,
2014-07,0.354,
