"",BBK01.OECL03U,BBK01.OECL03U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:36,
2002-01,0.122,
2002-04,0.119,
2002-07,0.114,
2002-10,0.111,
2003-01,0.092,
2003-04,0.093,
2003-07,0.088,
2003-10,0.106,
2004-01,0.080,
2004-04,0.081,
2004-07,0.081,
2004-10,0.089,
2005-01,0.181,
2005-04,0.174,
2005-07,0.169,
2005-10,0.156,
2006-01,0.161,
2006-04,0.154,
2006-07,0.155,
2006-10,0.159,
2007-01,0.191,
2007-04,0.207,
2007-07,0.233,
2007-10,0.290,
2008-01,0.334,
2008-04,0.348,
2008-07,0.435,
2008-10,0.470,
2009-01,0.450,
2009-04,0.439,
2009-07,0.339,
2009-10,0.326,
2010-01,0.236,
2010-04,0.243,
2010-07,0.203,
2010-10,0.184,
2011-01,0.193,
2011-04,0.175,
2011-07,0.173,
2011-10,0.212,
2012-01,0.221,
2012-04,0.238,
2012-07,0.176,
2012-10,0.112,
2013-01,0.109,
2013-04,0.092,
2013-07,0.086,
2013-10,0.081,
2014-01,0.080,
2014-04,0.077,
2014-07,0.052,
