"",BBSF2.M.1.T.00000.TOT01.I.F.AKT.U201.00000.000000.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.AKT.U201.00000.000000.Z01.00_FLAGS
"","Funds total / Funds total / Shares / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:12,
2009-09,60818,
2009-10,59127,
2009-11,58916,
2009-12,63115,
2010-01,59903,
2010-02,58313,
2010-03,63202,
2010-04,60834,
2010-05,56236,
2010-06,55254,
2010-07,58449,
2010-08,56322,
2010-09,59040,
2010-10,61935,
2010-11,57988,
2010-12,61843,
2011-01,65005,
2011-02,65828,
2011-03,64131,
2011-04,64593,
2011-05,62110,
2011-06,61331,
2011-07,57550,
2011-08,50230,
2011-09,46854,
2011-10,50473,
2011-11,47529,
2011-12,48028,
2012-01,49508,
2012-02,50532,
2012-03,49217,
2012-04,46385,
2012-05,43173,
2012-06,45706,
2012-07,47228,
2012-08,47702,
2012-09,48314,
2012-10,49306,
2012-11,50427,
2012-12,52202,
2013-01,54431,
2013-02,53404,
2013-03,53633,
2013-04,56271,
2013-05,57826,
2013-06,54542,
2013-07,59038,
2013-08,59235,
2013-09,62243,
2013-10,66467,
2013-11,67075,
2013-12,66540,
2014-01,64419,
2014-02,67913,
2014-03,68854,
2014-04,70067,
2014-05,71612,
2014-06,72037,
2014-07,70175,
2014-08,70892,
2014-09,71341,
2014-10,69369,
2014-11,71653,
