"",BBK01.OECJ05O,BBK01.OECJ05O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:38,
2002-01,0.029,
2002-04,0.031,
2002-07,0.030,
2002-10,0.030,
2003-01,0.029,
2003-04,0.028,
2003-07,0.026,
2003-10,0.022,
2004-01,0.018,
2004-04,0.017,
2004-07,0.016,
2004-10,0.016,
2005-01,0.359,
2005-04,0.378,
2005-07,0.362,
2005-10,0.341,
2006-01,0.331,
2006-04,0.331,
2006-07,0.330,
2006-10,0.329,
2007-01,0.327,
2007-04,0.335,
2007-07,0.335,
2007-10,0.334,
2008-01,0.335,
2008-04,0.334,
2008-07,0.347,
2008-10,0.346,
2009-01,0.333,
2009-04,0.335,
2009-07,0.333,
2009-10,0.315,
2010-01,0.315,
2010-04,0.338,
2010-07,0.338,
2010-10,0.339,
2011-01,0.340,
2011-04,0.335,
2011-07,0.324,
2011-10,0.333,
2012-01,0.332,
2012-04,0.339,
2012-07,0.340,
2012-10,0.336,
2013-01,0.329,
2013-04,0.324,
2013-07,0.328,
2013-10,0.315,
2014-01,0.316,
2014-04,0.304,
2014-07,0.290,
