"",BBFB1.Q.N.DE.U3.S1.S1.T.L.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.U3.S1.S1.T.L.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Net / Intra EU Extra Euro Area (EU Member States and institutions not belonging to the Euro area) changing composition,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:43:08,
1991-01,-2621.822,
1991-04,3313.088,
1991-07,7465.752,
1991-10,8282.706,
1992-01,-4002.623,
1992-04,1877.618,
1992-07,15846.832,
1992-10,9121.229,
1993-01,20297.880,
1993-04,16776.443,
1993-07,12116.498,
1993-10,22221.180,
1994-01,-2232.033,
1994-04,-6050.540,
1994-07,2446.652,
1994-10,3249.782,
1995-01,2691.888,
1995-04,10598.874,
1995-07,9499.292,
1995-10,10753.961,
1996-01,14359.810,
1996-04,16266.125,
1996-07,14789.339,
1996-10,8291.474,
1997-01,12396.089,
1997-04,8840.201,
1997-07,25496.297,
1997-10,20845.389,
1998-01,19646.135,
1998-04,20133.292,
1998-07,39378.067,
1998-10,4667.335,
1999-01,17354.688,
1999-04,35659.168,
1999-07,45944.388,
1999-10,37219.563,
2000-01,-21631.089,
2000-04,73156.486,
2000-07,51059.941,
2000-10,55892.408,
2001-01,38881.853,
2001-04,72094.162,
2001-07,69772.869,
2001-10,46578.826,
2002-01,61559.046,
2002-04,85957.189,
2002-07,81074.528,
2002-10,82165.652,
2003-01,78478.618,
2003-04,74854.290,
2003-07,56364.913,
2003-10,67026.402,
2004-01,111150.819,
2004-04,48302.544,
2004-07,92855.778,
2004-10,73053.580,
2005-01,92462.744,
2005-04,122685.383,
2005-07,84081.655,
2005-10,70115.345,
2006-01,106877.825,
2006-04,61337.371,
2006-07,59255.780,
2006-10,66437.943,
2007-01,110321.621,
2007-04,95451.837,
2007-07,91591.698,
2007-10,97969.671,
2008-01,90860.275,
2008-04,118914.898,
2008-07,116720.765,
2008-10,73927.593,
2009-01,100465.141,
2009-04,104246.403,
2009-07,106075.122,
2009-10,93399.201,
2010-01,104280.816,
2010-04,108432.771,
2010-07,125100.541,
2010-10,105406.761,
2011-01,126856.401,
2011-04,147039.444,
2011-07,166919.884,
2011-10,128895.606,
2012-01,170494.024,
2012-04,144353.690,
2012-07,126749.685,
2012-10,93609.686,
2013-01,138032.429,
2013-04,120002.492,
2013-07,124163.915,
2013-10,101264.064,
2014-01,143280.895,Provisional value
2014-04,138771.991,Provisional value
2014-07,121803.451,Provisional value
2014-10,107836.485,Provisional value
