"",BBK01.OEAE20G,BBK01.OEAE20G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:02:55,
2002-01,0.784,
2002-04,0.811,
2002-07,0.830,
2002-10,0.898,
2003-01,0.882,
2003-04,0.913,
2003-07,0.876,
2003-10,0.789,
2004-01,0.824,
2004-04,0.722,
2004-07,0.798,
2004-10,0.753,
2005-01,0.769,
2005-04,0.760,
2005-07,0.787,
2005-10,0.669,
2006-01,0.632,
2006-04,0.648,
2006-07,0.660,
2006-10,0.622,
2007-01,0.645,
2007-04,0.678,
2007-07,0.739,
2007-10,0.751,
2008-01,0.734,
2008-04,0.761,
2008-07,0.762,
2008-10,1.081,
2009-01,0.895,
2009-04,0.818,
2009-07,0.909,
2009-10,0.878,
2010-01,0.857,
2010-04,0.889,
2010-07,0.858,
2010-10,0.845,
2011-01,0.784,
2011-04,0.886,
2011-07,0.884,
2011-10,0.961,
2012-01,1.076,
2012-04,1.051,
2012-07,1.183,
2012-10,1.161,
2013-01,1.032,
2013-04,0.956,
2013-07,0.731,
2013-10,0.832,
2014-01,0.799,
2014-04,0.827,
2014-07,0.874,
