"",BBK01.OEAC15R,BBK01.OEAC15R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:13,
2002-01,0.782,
2002-04,0.796,
2002-07,0.795,
2002-10,0.781,
2003-01,0.786,
2003-04,0.765,
2003-07,0.764,
2003-10,0.728,
2004-01,0.735,
2004-04,0.718,
2004-07,0.701,
2004-10,0.671,
2005-01,0.670,
2005-04,0.646,
2005-07,0.627,
2005-10,0.601,
2006-01,0.596,
2006-04,0.579,
2006-07,0.582,
2006-10,0.567,
2007-01,0.567,
2007-04,0.568,
2007-07,0.559,
2007-10,0.557,
2008-01,0.559,
2008-04,0.553,
2008-07,0.543,
2008-10,0.534,
2009-01,0.529,
2009-04,0.545,
2009-07,0.531,
2009-10,0.510,
2010-01,0.525,
2010-04,0.529,
2010-07,0.519,
2010-10,0.507,
2011-01,0.513,
2011-04,0.511,
2011-07,0.510,
2011-10,0.504,
2012-01,0.500,
2012-04,0.499,
2012-07,0.496,
2012-10,0.495,
2013-01,0.503,
2013-04,0.506,
2013-07,0.500,
2013-10,0.502,
2014-01,0.501,
2014-04,0.506,
2014-07,0.496,
