"",BBDE1.M.DE.Y.AEB5.A2Q610000.F.C.I10.A,BBDE1.M.DE.Y.AEB5.A2Q610000.F.C.I10.A_FLAGS
"",Orders received from abroad / At constant prices / Germany / Capital goods excluding 30 Manufacture of other transport equipment / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:18:21,
1995-01,46.5,
1995-02,48.3,
1995-03,47.3,
1995-04,45.2,
1995-05,46.5,
1995-06,45.3,
1995-07,47.1,
1995-08,44.9,
1995-09,47.3,
1995-10,45.3,
1995-11,45.1,
1995-12,46.9,
1996-01,45.9,
1996-02,47.4,
1996-03,47.9,
1996-04,49.0,
1996-05,50.8,
1996-06,48.7,
1996-07,50.0,
1996-08,50.8,
1996-09,48.5,
1996-10,53.1,
1996-11,52.7,
1996-12,51.4,
1997-01,53.9,
1997-02,52.3,
1997-03,55.0,
1997-04,56.2,
1997-05,54.3,
1997-06,56.4,
1997-07,55.8,
1997-08,56.5,
1997-09,59.3,
1997-10,56.3,
1997-11,56.8,
1997-12,56.5,
1998-01,58.9,
1998-02,58.4,
1998-03,57.9,
1998-04,61.7,
1998-05,58.0,
1998-06,58.8,
1998-07,60.1,
1998-08,58.1,
1998-09,59.7,
1998-10,57.3,
1998-11,56.5,
1998-12,63.4,
1999-01,56.4,
1999-02,59.8,
1999-03,59.9,
1999-04,61.6,
1999-05,61.1,
1999-06,62.5,
1999-07,63.8,
1999-08,68.7,
1999-09,66.5,
1999-10,67.0,
1999-11,67.6,
1999-12,66.7,
2000-01,67.2,
2000-02,71.2,
2000-03,71.9,
2000-04,71.9,
2000-05,74.9,
2000-06,75.1,
2000-07,77.7,
2000-08,78.0,
2000-09,78.7,
2000-10,80.1,
2000-11,79.0,
2000-12,78.9,
2001-01,76.9,
2001-02,79.2,
2001-03,78.6,
2001-04,74.9,
2001-05,79.6,
2001-06,77.9,
2001-07,76.5,
2001-08,76.8,
2001-09,76.0,
2001-10,74.4,
2001-11,74.9,
2001-12,79.1,
2002-01,76.4,
2002-02,75.8,
2002-03,78.3,
2002-04,78.5,
2002-05,83.1,
2002-06,79.9,
2002-07,78.6,
2002-08,85.0,
2002-09,80.7,
2002-10,79.6,
2002-11,82.5,
2002-12,75.8,
2003-01,81.1,
2003-02,79.5,
2003-03,78.2,
2003-04,78.0,
2003-05,75.8,
2003-06,78.1,
2003-07,79.1,
2003-08,80.8,
2003-09,80.2,
2003-10,81.3,
2003-11,81.9,
2003-12,85.2,
2004-01,81.6,
2004-02,82.0,
2004-03,86.8,
2004-04,87.9,
2004-05,90.8,
2004-06,88.0,
2004-07,89.9,
2004-08,85.8,
2004-09,87.0,
2004-10,83.8,
2004-11,85.1,
2004-12,92.0,
2005-01,90.6,
2005-02,87.6,
2005-03,90.5,
2005-04,89.6,
2005-05,89.7,
2005-06,95.2,
2005-07,93.7,
2005-08,93.6,
2005-09,96.9,
2005-10,101.2,
2005-11,102.6,
2005-12,97.4,
2006-01,106.1,
2006-02,101.1,
2006-03,102.7,
2006-04,105.9,
2006-05,104.9,
2006-06,102.9,
2006-07,103.8,
2006-08,106.0,
2006-09,104.7,
2006-10,107.9,
2006-11,107.1,
2006-12,107.4,
2007-01,113.5,
2007-02,118.5,
2007-03,115.2,
2007-04,111.7,
2007-05,118.6,
2007-06,120.7,
2007-07,119.9,
2007-08,118.5,
2007-09,115.4,
2007-10,124.0,
2007-11,120.7,
2007-12,124.1,
2008-01,119.7,
2008-02,120.7,
2008-03,119.1,
2008-04,121.1,
2008-05,110.4,
2008-06,110.0,
2008-07,103.8,
2008-08,110.6,
2008-09,101.5,
2008-10,89.8,
2008-11,83.2,
2008-12,73.0,
2009-01,64.8,
2009-02,64.7,
2009-03,70.8,
2009-04,68.1,
2009-05,71.4,
2009-06,77.5,
2009-07,76.3,
2009-08,80.3,
2009-09,86.2,
2009-10,83.0,
2009-11,87.5,
2009-12,87.0,
2010-01,86.6,
2010-02,89.4,
2010-03,91.0,
2010-04,98.2,
2010-05,99.6,
2010-06,98.8,
2010-07,101.5,
2010-08,104.1,
2010-09,102.9,
2010-10,103.2,
2010-11,113.1,
2010-12,108.1,
2011-01,111.1,
2011-02,111.6,
2011-03,108.4,
2011-04,106.7,
2011-05,107.1,
2011-06,113.9,
2011-07,109.2,
2011-08,107.9,
2011-09,106.8,
2011-10,108.5,
2011-11,104.2,
2011-12,105.2,
2012-01,103.9,
2012-02,105.6,
2012-03,108.2,
2012-04,107.7,
2012-05,109.4,
2012-06,107.1,
2012-07,109.7,
2012-08,107.4,
2012-09,107.9,
2012-10,108.2,
2012-11,106.9,
2012-12,110.1,
2013-01,105.7,
2013-02,106.4,
2013-03,110.3,
2013-04,108.4,
2013-05,113.4,
2013-06,115.1,
2013-07,108.4,
2013-08,115.6,
2013-09,111.7,
2013-10,108.1,
2013-11,111.8,
2013-12,120.0,
2014-01,116.9,
2014-02,112.8,
2014-03,114.0,
2014-04,111.2,
2014-05,109.2,
2014-06,114.8,
2014-07,116.5,
2014-08,115.3,
2014-09,119.7,
2014-10,120.2,
2014-11,118.2,
2014-12,125.0,Provisional value
