"",BBK01.OEAA11O,BBK01.OEAA11O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:18:28,
2002-01,11.061,
2002-04,10.338,
2002-07,10.653,
2002-10,10.629,
2003-01,13.042,
2003-04,9.957,
2003-07,9.555,
2003-10,9.347,
2004-01,9.368,
2004-04,9.579,
2004-07,9.167,
2004-10,9.320,
2005-01,11.854,
2005-04,11.456,
2005-07,11.345,
2005-10,11.130,
2006-01,11.857,
2006-04,11.241,
2006-07,11.798,
2006-10,11.387,
2007-01,11.653,
2007-04,11.499,
2007-07,12.371,
2007-10,11.661,
2008-01,12.062,
2008-04,11.980,
2008-07,11.364,
2008-10,11.538,
2009-01,11.068,
2009-04,10.601,
2009-07,10.449,
2009-10,11.012,
2010-01,10.912,
2010-04,11.315,
2010-07,11.784,
2010-10,11.713,
2011-01,11.591,
2011-04,11.857,
2011-07,11.248,
2011-10,10.815,
2012-01,11.170,
2012-04,11.399,
2012-07,10.956,
2012-10,11.193,
2013-01,11.326,
2013-04,11.101,
2013-07,11.641,
2013-10,11.003,
2014-01,11.413,
2014-04,11.357,
2014-07,10.860,
