"",BBK01.OEAI04J,BBK01.OEAI04J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:51:24,
2002-01,2.981,
2002-04,2.767,
2002-07,2.561,
2002-10,2.530,
2003-01,2.474,
2003-04,2.663,
2003-07,2.559,
2003-10,2.261,
2004-01,2.562,
2004-04,2.533,
2004-07,2.585,
2004-10,2.192,
2005-01,2.423,
2005-04,2.517,
2005-07,2.584,
2005-10,3.071,
2006-01,2.840,
2006-04,2.936,
2006-07,3.015,
2006-10,2.820,
2007-01,2.839,
2007-04,3.083,
2007-07,3.928,
2007-10,4.013,
2008-01,3.988,
2008-04,4.785,
2008-07,5.237,
2008-10,5.260,
2009-01,4.533,
2009-04,4.099,
2009-07,3.709,
2009-10,3.471,
2010-01,3.607,
2010-04,3.898,
2010-07,3.690,
2010-10,3.868,
2011-01,3.665,
2011-04,3.688,
2011-07,3.844,
2011-10,3.980,
2012-01,4.168,
2012-04,3.696,
2012-07,3.189,
2012-10,2.925,
2013-01,2.937,
2013-04,2.788,
2013-07,2.592,
2013-10,2.377,
2014-01,3.041,
2014-04,2.956,
2014-07,2.902,
