"",BBEX3.M.BSD.EUR.CA.AB.A01,BBEX3.M.BSD.EUR.CA.AB.A01_FLAGS
"",Exchange rates for the euro in the Bahamas / EUR 1 = BSD ... (selling),
unit,BSD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:16:24,
1999-01,1.16200,
1999-02,1.11500,
1999-03,1.08800,
1999-04,1.07900,
1999-05,1.05900,
1999-06,1.04900,
1999-07,1.08750,
1999-08,1.06900,
1999-09,1.08460,
1999-10,1.06030,
1999-11,1.01400,
1999-12,1.01280,
2000-01,1.02450,
2000-02,1.03550,
2000-03,1.05240,
2000-04,0.91400,
2000-05,0.93470,
2000-06,0.96030,
2000-07,0.92840,
2000-08,0.89670,
2000-09,0.88700,
2000-10,0.87250,
2000-11,0.87380,
2000-12,0.93380,
2001-01,0.93450,
2001-02,0.94610,
2001-03,0.90000,
2001-04,0.90550,
2001-05,0.86470,
2001-06,0.86530,
2001-07,0.89950,
2001-08,0.91920,
2001-09,0.93080,
2001-10,0.90920,
2001-11,0.90680,
2001-12,0.90310,
2002-01,0.88020,
2002-02,0.88250,
2002-03,0.88890,
2002-04,0.91840,
2002-05,0.95540,
2002-06,1.01340,
2002-07,0.99450,
2002-08,1.00160,
2002-09,1.00420,
2002-10,1.00440,
2002-11,1.00200,
2002-12,1.05900,
2003-01,1.09300,
2003-02,1.09660,
2003-03,1.09900,
2003-04,1.12360,
2003-05,1.19400,
2003-06,1.15400,
2003-07,1.14820,
2003-08,1.10500,
2003-09,1.18000,
2003-10,1.17500,
2003-11,1.21820,
2003-12,1.27600,
2004-01,1.26000,
2004-02,1.26210,
2004-03,1.24150,
2004-04,1.21340,
2004-05,1.23970,
2004-06,1.23400,
2004-07,1.22340,
2004-08,1.22990,
2004-09,1.25990,
2004-10,1.29470,
2004-11,1.35540,
2004-12,1.38340,
2005-01,1.32310,
2005-02,1.33750,
2005-03,1.31480,
2005-04,1.31300,
2005-05,1.25200,
2005-06,1.22760,
2005-07,1.22860,
2005-08,1.24050,
2005-09,1.22140,
2005-10,1.22110,
2005-11,1.19440,
2005-12,1.19870,
2006-01,1.23060,
2006-02,1.20670,
2006-03,1.23090,
2006-04,1.28730,
2006-05,1.30590,
2006-06,1.29430,
2006-07,1.29560,
2006-08,1.30620,
2006-09,1.28390,
2006-10,1.28930,
2006-11,1.33870,
2006-12,1.33560,
2007-01,1.32330,
2007-02,1.34820,
2007-03,1.35070,
2007-04,1.36270,
2007-05,1.36480,
2007-06,1.36980,
2007-07,1.38820,
2007-08,1.38740,
2007-09,1.43960,
2007-10,1.46290,
2007-11,1.49450,
2007-12,1.48940,
2008-01,1.50270,
2008-02,1.53920,
2008-03,1.59890,
2008-04,1.57610,
2008-05,1.56860,
2008-06,1.59500,
2008-07,1.58700,
2008-08,1.49250,
2008-09,1.44140,
2008-10,1.29310,
2008-11,1.29160,
2008-12,1.39170,
2009-01,1.30540,
2009-02,1.28170,
2009-03,1.34880,
2009-04,1.34080,
2009-05,1.42920,
2009-06,1.42710,
2009-07,1.44040,
2009-08,1.45810,
2009-09,1.49140,
2009-10,1.48570,
2009-11,1.53170,
2009-12,1.46990,
2010-01,1.42310,
2010-02,1.38730,
2010-03,1.35070,
2010-04,1.37700,
2010-05,1.26210,
2010-06,1.25390,
2010-07,1.33060,
2010-08,1.30290,
2010-09,1.39570,
2010-10,1.42050,
2010-11,1.33970,
2010-12,1.30840,
2011-01,1.40150,
2011-02,1.41390,
2011-03,1.45030,
2011-04,1.51610,
2011-05,1.46980,
2011-06,1.48890,
2011-07,1.43230,
2011-08,1.47330,
2011-09,1.37960,
2011-10,1.42980,
2011-11,1.35770,
2011-12,1.31060,
2012-01,1.34850,
2012-02,1.35950,
2012-03,1.36360,
2012-04,1.35210,
2012-05,1.25380,
2012-06,1.28830,
2012-07,1.25740,
2012-08,1.28810,
2012-09,1.32350,
2012-10,1.32920,
2012-11,1.32960,
2012-12,1.34840,
2013-01,1.38600,
2013-02,1.33940,
2013-03,1.30640,
2013-04,1.32370,
2013-05,1.30310,
2013-06,1.33590,
2013-07,1.35490,
2013-08,1.35350,
2013-09,1.37930,
2013-10,1.39990,
2013-11,1.38980,
2013-12,1.40730,
2014-01,1.38330,
2014-02,1.40870,
2014-03,1.40860,
2014-04,1.41180,
2014-05,1.39080,
2014-06,1.39470,
2014-07,1.36790,
2014-08,1.34740,
2014-09,1.28920,
2014-10,1.28600,
2014-11,1.27440,
2014-12,1.24490,
2015-01,1.16480,
"","Source: The Central Bank of the Bahamas, Nassau.",
