"",BBK01.OEHB20V,BBK01.OEHB20V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:47,
2002-01,4.576,
2002-04,4.579,
2002-07,4.593,
2002-10,4.601,
2003-01,4.519,
2003-04,4.519,
2003-07,4.544,
2003-10,4.572,
2004-01,4.509,
2004-04,4.531,
2004-07,4.541,
2004-10,4.571,
2005-01,4.519,
2005-04,4.547,
2005-07,4.592,
2005-10,4.578,
2006-01,4.589,
2006-04,4.663,
2006-07,4.684,
2006-10,4.699,
2007-01,4.668,
2007-04,4.677,
2007-07,4.694,
2007-10,4.696,
2008-01,4.660,
2008-04,4.659,
2008-07,4.645,
2008-10,4.624,
2009-01,4.590,
2009-04,4.606,
2009-07,4.622,
2009-10,4.644,
2010-01,4.666,
2010-04,4.672,
2010-07,4.670,
2010-10,4.675,
2011-01,4.675,
2011-04,4.698,
2011-07,4.721,
2011-10,4.741,
2012-01,4.755,
2012-04,4.789,
2012-07,4.849,
2012-10,4.886,
2013-01,4.895,
2013-04,4.953,
2013-07,5.014,
2013-10,5.049,
2014-01,5.069,
2014-04,5.130,
2014-07,5.214,
