"",BBK01.OEAP04M,BBK01.OEAP04M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:16:55,
2002-01,0.067,
2002-04,0.042,
2002-07,0.040,
2002-10,0.034,
2003-01,0.039,
2003-04,0.035,
2003-07,0.032,
2003-10,0.029,
2004-01,0.025,
2004-04,0.027,
2004-07,0.025,
2004-10,0.023,
2005-01,0.020,
2005-04,0.021,
2005-07,0.019,
2005-10,0.018,
2006-01,0.020,
2006-04,0.014,
2006-07,0.013,
2006-10,0.011,
2007-01,0.009,
2007-04,0.010,
2007-07,0.009,
2007-10,0.009,
2008-01,0.011,
2008-04,0.011,
2008-07,0.050,
2008-10,0.010,
2009-01,0.021,
2009-04,0.008,
2009-07,0.008,
2009-10,0.009,
2010-01,0.009,
2010-04,0.005,
2010-07,0.007,
2010-10,0.008,
2011-01,0.010,
2011-04,0.006,
2011-07,0.006,
2011-10,0.003,
2012-01,0.004,
2012-04,0.005,
2012-07,0.005,
2012-10,0.009,
2013-01,0.009,
2013-04,0.002,
2013-07,0.006,
2013-10,0.001,
2014-01,0.004,
2014-04,0.002,
2014-07,0.000,
