"",BBK01.CEFFCN,BBK01.CEFFCN_FLAGS
"",long-term loans                                            debtor: General government                        creditor: Rest of the world,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:33:51,
1999-01,9.7,
1999-04,9.7,
1999-07,8.8,
1999-10,8.8,
2000-01,8.1,
2000-04,8.0,
2000-07,7.5,
2000-10,7.7,
2001-01,7.6,
2001-04,7.5,
2001-07,7.3,
2001-10,7.4,
2002-01,7.9,
2002-04,7.4,
2002-07,7.8,
2002-10,8.3,
2003-01,11.4,
2003-04,11.8,
2003-07,11.7,
2003-10,11.6,
2004-01,11.6,
2004-04,12.7,
2004-07,14.5,
2004-10,14.6,
2005-01,16.3,
2005-04,17.0,
2005-07,15.3,
2005-10,15.0,
2006-01,15.8,
2006-04,15.2,
2006-07,15.4,
2006-10,16.0,
2007-01,16.2,
2007-04,15.2,
2007-07,14.8,
2007-10,14.3,
2008-01,14.0,
2008-04,14.1,
2008-07,13.6,
2008-10,14.3,
2009-01,14.2,
2009-04,13.4,
2009-07,13.3,
2009-10,13.1,
2010-01,12.8,
2010-04,12.8,
2010-07,13.0,
2010-10,14.0,
2011-01,14.7,
2011-04,16.5,
2011-07,18.2,
2011-10,18.0,
2012-01,35.3,
2012-04,47.5,
2012-07,45.4,
2012-10,54.5,
2013-01,55.5,
2013-04,61.5,
2013-07,61.7,
2013-10,61.4,
2014-01,60.4,
2014-04,62.5,
2014-07,62.6,
