"",BBK01.OEAH06M,BBK01.OEAH06M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:39,
2002-01,0.496,
2002-04,0.549,
2002-07,0.631,
2002-10,0.804,
2003-01,0.762,
2003-04,0.595,
2003-07,0.540,
2003-10,0.509,
2004-01,0.505,
2004-04,0.369,
2004-07,0.307,
2004-10,0.296,
2005-01,0.354,
2005-04,0.348,
2005-07,0.357,
2005-10,0.379,
2006-01,0.391,
2006-04,0.421,
2006-07,0.477,
2006-10,0.510,
2007-01,0.512,
2007-04,0.540,
2007-07,0.672,
2007-10,1.098,
2008-01,1.765,
2008-04,2.392,
2008-07,3.298,
2008-10,4.160,
2009-01,4.381,
2009-04,4.524,
2009-07,3.931,
2009-10,3.453,
2010-01,2.654,
2010-04,1.473,
2010-07,1.264,
2010-10,1.137,
2011-01,1.094,
2011-04,1.221,
2011-07,1.543,
2011-10,1.934,
2012-01,2.175,
2012-04,2.213,
2012-07,1.951,
2012-10,1.797,
2013-01,1.585,
2013-04,1.505,
2013-07,1.430,
2013-10,1.314,
2014-01,1.184,
2014-04,1.102,
2014-07,1.085,
