"",BBFB1.Q.N.DE.R12.S1.S1.T.L.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.R12.S1.S1.T.L.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Equity / Reinvested earnings / Offshore financial centers,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:49:57,
1991-01,1.654,
1991-04,1.654,
1991-07,1.654,
1991-10,1.654,
1992-01,2.574,
1992-04,10.262,
1992-07,10.262,
1992-10,7.823,
1993-01,-1.696,
1993-04,-1.696,
1993-07,-1.696,
1993-10,-1.696,
1994-01,-57.778,
1994-04,-57.778,
1994-07,-57.778,
1994-10,-83.316,
1995-01,14.556,
1995-04,8.311,
1995-07,14.987,
1995-10,14.987,
1996-01,-76.300,
1996-04,-82.979,
1996-07,-76.300,
1996-10,-93.172,
1997-01,-1.293,
1997-04,-,Nothing exists
1997-07,-22.218,
1997-10,-55.826,
1998-01,-,Nothing exists
1998-04,-,Nothing exists
1998-07,-0.026,
1998-10,-1.278,
1999-01,-23.000,
1999-04,-22.000,
1999-07,-23.000,
1999-10,-25.000,
2000-01,60.976,
2000-04,57.926,
2000-07,58.000,
2000-10,54.951,
2001-01,19.961,
2001-04,-227.255,
2001-07,14.359,
2001-10,10.333,
2002-01,20.185,
2002-04,-104.559,
2002-07,18.004,
2002-10,39.227,
2003-01,78.266,
2003-04,43.128,
2003-07,127.987,
2003-10,-91.560,
2004-01,86.994,
2004-04,134.132,
2004-07,175.882,
2004-10,179.942,
2005-01,-42.060,
2005-04,-56.756,
2005-07,-82.063,
2005-10,-152.665,
2006-01,112.766,
2006-04,114.738,
2006-07,151.779,
2006-10,76.420,
2007-01,105.924,
2007-04,-546.050,
2007-07,28.479,
2007-10,13.516,
2008-01,778.078,
2008-04,-1149.065,
2008-07,-788.615,
2008-10,-230.713,
2009-01,-5.064,
2009-04,-160.684,
2009-07,-5.105,
2009-10,12.761,
2010-01,-11.253,
2010-04,-39.002,
2010-07,-9.377,
2010-10,1.038,
2011-01,9.749,
2011-04,-79.890,
2011-07,25.864,
2011-10,-26.593,
2012-01,39.773,
2012-04,37.888,
2012-07,32.294,
2012-10,40.815,
2013-01,48.740,
2013-04,51.257,
2013-07,-40.593,
2013-10,48.820,
2014-01,52.759,
2014-04,45.191,
2014-07,-52.664,
2014-10,49.604,
