"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.CA.00013.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.CA.00013.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / Canada / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:15,
2009-09,659,
2009-10,641,
2009-11,753,
2009-12,782,
2010-01,878,
2010-02,848,
2010-03,835,
2010-04,899,
2010-05,1030,
2010-06,1069,
2010-07,969,
2010-08,1039,
2010-09,1085,
2010-10,1065,
2010-11,1133,
2010-12,1099,
2011-01,1054,
2011-02,1063,
2011-03,1018,
2011-04,971,
2011-05,1004,
2011-06,1007,
2011-07,1070,
2011-08,1176,
2011-09,1245,
2011-10,1310,
2011-11,1347,
2011-12,1436,
2012-01,1462,
2012-02,1462,
2012-03,1421,
2012-04,1489,
2012-05,1595,
2012-06,1581,
2012-07,1674,
2012-08,1555,
2012-09,1532,
2012-10,1549,
2012-11,1612,
2012-12,1569,
2013-01,1443,
2013-02,1402,
2013-03,1396,
2013-04,1415,
2013-05,1365,
2013-06,1279,
2013-07,1364,
2013-08,1329,
2013-09,1348,
2013-10,1333,
2013-11,1327,
2013-12,1330,
2014-01,1603,
2014-02,1648,
2014-03,1631,
2014-04,1632,
2014-05,1841,
2014-06,1871,
2014-07,1928,
2014-08,1979,
2014-09,2092,
2014-10,2099,
2014-11,2191,
