"",BBSF2.M.1.P.00000.DAC01.I.F.ERT.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.DAC01.I.F.ERT.Z5.00000.000000.Z01.00_FLAGS
"",Public funds / Funds-of-funds / Distribution of earnings,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:37:58,
2009-01,4,
2009-02,1,
2009-03,16,
2009-04,8,
2009-05,13,
2009-06,52,
2009-07,2,
2009-08,0,
2009-09,5,
2009-10,10,
2009-11,3,
2009-12,1,
2010-01,8,
2010-02,1,
2010-03,9,
2010-04,1,
2010-05,7,
2010-06,27,
2010-07,5,
2010-08,-,Nothing exists
2010-09,1,
2010-10,7,
2010-11,1,
2010-12,2,
2011-01,9,
2011-02,1,
2011-03,9,
2011-04,10,
2011-05,4,
2011-06,28,
2011-07,1,
2011-08,-,Nothing exists
2011-09,1,
2011-10,498,
2011-11,1,
2011-12,55,
2012-01,10,
2012-02,12,
2012-03,7,
2012-04,18,
2012-05,12,
2012-06,3,
2012-07,2,
2012-08,-,Nothing exists
2012-09,2,
2012-10,5,
2012-11,5,
2012-12,3,
2013-01,12,
2013-02,1,
2013-03,6,
2013-04,11,
2013-05,1,
2013-06,2,
2013-07,1,
2013-08,1,
2013-09,1,
2013-10,10,
2013-11,5,
2013-12,6,
2014-01,7,
2014-02,1,
2014-03,4,
2014-04,13,
2014-05,4,
2014-06,1,
2014-07,1,
2014-08,1,
2014-09,1,
2014-10,7,
2014-11,4,
