"",BBK01.OEBI03G,BBK01.OEBI03G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:25,
2002-01,35.269,
2002-04,36.070,
2002-07,36.222,
2002-10,35.942,
2003-01,33.620,
2003-04,34.611,
2003-07,32.684,
2003-10,32.029,
2004-01,30.208,
2004-04,29.520,
2004-07,29.143,
2004-10,29.102,
2005-01,14.862,
2005-04,14.557,
2005-07,8.241,
2005-10,9.614,
2006-01,8.646,
2006-04,8.769,
2006-07,8.804,
2006-10,9.668,
2007-01,11.116,
2007-04,12.613,
2007-07,14.268,
2007-10,15.936,
2008-01,17.074,
2008-04,18.223,
2008-07,19.897,
2008-10,21.018,
2009-01,24.071,
2009-04,25.213,
2009-07,23.175,
2009-10,21.263,
2010-01,20.318,
2010-04,19.323,
2010-07,19.295,
2010-10,18.810,
2011-01,18.952,
2011-04,19.052,
2011-07,21.732,
2011-10,23.402,
2012-01,23.226,
2012-04,24.405,
2012-07,23.911,
2012-10,23.738,
2013-01,23.314,
2013-04,22.699,
2013-07,22.431,
2013-10,22.811,
2014-01,23.234,
2014-04,23.168,
2014-07,23.474,
