"",BBDE1.M.DE.W.BAA1.N2C290000.G.C.I10.A,BBDE1.M.DE.W.BAA1.N2C290000.G.C.I10.A_FLAGS
"","Output in the production sector / Germany / 29 Manufacture of motor vehicles, trailers and semi-trailers / Calendar adjusted only",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-06 08:29:44,
1991-01,63.8,
1991-02,65.2,
1991-03,71.7,
1991-04,66.3,
1991-05,62.6,
1991-06,69.0,
1991-07,54.6,
1991-08,48.1,
1991-09,64.9,
1991-10,68.1,
1991-11,73.5,
1991-12,58.0,
1992-01,64.8,
1992-02,69.6,
1992-03,74.8,
1992-04,68.3,
1992-05,67.6,
1992-06,68.3,
1992-07,56.6,
1992-08,46.3,
1992-09,67.4,
1992-10,69.5,
1992-11,67.6,
1992-12,50.0,
1993-01,47.7,
1993-02,51.9,
1993-03,61.0,
1993-04,55.6,
1993-05,54.8,
1993-06,52.3,
1993-07,44.4,
1993-08,42.0,
1993-09,56.7,
1993-10,58.6,
1993-11,60.0,
1993-12,49.5,
1994-01,48.8,
1994-02,54.8,
1994-03,64.1,
1994-04,61.2,
1994-05,57.3,
1994-06,62.2,
1994-07,56.5,
1994-08,40.6,
1994-09,63.0,
1994-10,65.0,
1994-11,67.4,
1994-12,55.3,
1995-01,56.1,
1995-02,59.3,
1995-03,65.4,
1995-04,62.8,
1995-05,60.8,
1995-06,62.4,
1995-07,52.0,
1995-08,42.1,
1995-09,60.5,
1995-10,61.0,
1995-11,65.2,
1995-12,53.2,
1996-01,55.7,
1996-02,60.5,
1996-03,68.1,
1996-04,61.2,
1996-05,60.2,
1996-06,62.3,
1996-07,54.0,
1996-08,46.6,
1996-09,62.8,
1996-10,64.6,
1996-11,70.2,
1996-12,54.6,
1997-01,58.2,
1997-02,62.9,
1997-03,72.7,
1997-04,65.6,
1997-05,63.0,
1997-06,68.6,
1997-07,65.2,
1997-08,47.0,
1997-09,66.2,
1997-10,68.0,
1997-11,74.8,
1997-12,59.3,
1998-01,64.3,
1998-02,72.3,
1998-03,79.9,
1998-04,74.3,
1998-05,73.8,
1998-06,76.2,
1998-07,73.7,
1998-08,58.3,
1998-09,76.9,
1998-10,83.5,
1998-11,83.0,
1998-12,66.3,
1999-01,68.3,
1999-02,76.2,
1999-03,81.0,
1999-04,78.6,
1999-05,76.8,
1999-06,79.1,
1999-07,72.2,
1999-08,62.0,
1999-09,78.2,
1999-10,84.7,
1999-11,86.0,
1999-12,66.7,
2000-01,71.5,
2000-02,81.4,
2000-03,90.7,
2000-04,85.4,
2000-05,86.0,
2000-06,86.8,
2000-07,85.9,
2000-08,67.8,
2000-09,87.5,
2000-10,90.0,
2000-11,94.3,
2000-12,77.2,
2001-01,83.3,
2001-02,91.9,
2001-03,99.4,
2001-04,89.1,
2001-05,87.4,
2001-06,91.6,
2001-07,82.2,
2001-08,72.7,
2001-09,92.7,
2001-10,91.6,
2001-11,90.6,
2001-12,71.8,
2002-01,79.3,
2002-02,84.3,
2002-03,96.4,
2002-04,88.3,
2002-05,84.5,
2002-06,96.4,
2002-07,84.6,
2002-08,76.9,
2002-09,95.4,
2002-10,92.9,
2002-11,100.8,
2002-12,75.4,
2003-01,84.6,
2003-02,92.8,
2003-03,101.2,
2003-04,90.7,
2003-05,89.2,
2003-06,88.5,
2003-07,90.3,
2003-08,66.8,
2003-09,92.2,
2003-10,93.6,
2003-11,104.6,
2003-12,81.1,
2004-01,81.0,
2004-02,91.7,
2004-03,101.4,
2004-04,94.5,
2004-05,95.6,
2004-06,99.9,
2004-07,92.3,
2004-08,75.3,
2004-09,99.8,
2004-10,104.8,
2004-11,100.4,
2004-12,77.2,
2005-01,88.2,
2005-02,93.1,
2005-03,104.8,
2005-04,101.0,
2005-05,92.5,
2005-06,101.1,
2005-07,100.8,
2005-08,73.3,
2005-09,107.3,
2005-10,109.0,
2005-11,109.4,
2005-12,78.6,
2006-01,88.8,
2006-02,100.6,
2006-03,109.5,
2006-04,100.0,
2006-05,100.8,
2006-06,104.4,
2006-07,105.8,
2006-08,74.9,
2006-09,110.0,
2006-10,105.4,
2006-11,111.2,
2006-12,82.6,
2007-01,96.9,
2007-02,105.3,
2007-03,118.3,
2007-04,106.3,
2007-05,106.1,
2007-06,113.8,
2007-07,108.9,
2007-08,81.0,
2007-09,118.5,
2007-10,115.5,
2007-11,118.2,
2007-12,87.4,
2008-01,101.1,
2008-02,113.0,
2008-03,121.5,
2008-04,112.6,
2008-05,103.4,
2008-06,111.2,
2008-07,101.5,
2008-08,81.8,
2008-09,110.3,
2008-10,101.1,
2008-11,98.0,
2008-12,59.7,
2009-01,65.9,
2009-02,63.5,
2009-03,81.7,
2009-04,68.0,
2009-05,81.2,
2009-06,88.4,
2009-07,81.1,
2009-08,63.2,
2009-09,99.9,
2009-10,94.8,
2009-11,96.8,
2009-12,69.1,
2010-01,79.9,
2010-02,89.2,
2010-03,105.1,
2010-04,96.5,
2010-05,101.8,
2010-06,105.5,
2010-07,94.9,
2010-08,75.3,
2010-09,115.8,
2010-10,117.5,
2010-11,115.8,
2010-12,93.0,
2011-01,97.4,
2011-02,113.5,
2011-03,124.7,
2011-04,113.3,
2011-05,115.6,
2011-06,113.4,
2011-07,116.1,
2011-08,94.3,
2011-09,123.3,
2011-10,125.7,
2011-11,123.8,
2011-12,89.9,
2012-01,104.8,
2012-02,117.7,
2012-03,128.6,
2012-04,113.8,
2012-05,112.8,
2012-06,115.4,
2012-07,115.5,
2012-08,96.2,
2012-09,124.3,
2012-10,115.8,
