"",BBK01.OECO05G,BBK01.OECO05G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:35,
2002-01,0.009,
2002-04,0.004,
2002-07,0.003,
2002-10,0.023,
2003-01,0.003,
2003-04,0.003,
2003-07,0.003,
2003-10,0.024,
2004-01,0.003,
2004-04,0.002,
2004-07,0.002,
2004-10,0.025,
2005-01,0.003,
2005-04,0.005,
2005-07,0.009,
2005-10,0.102,
2006-01,0.011,
2006-04,0.004,
2006-07,0.004,
2006-10,0.093,
2007-01,0.005,
2007-04,0.005,
2007-07,0.006,
2007-10,0.113,
2008-01,0.008,
2008-04,0.005,
2008-07,0.012,
2008-10,0.121,
2009-01,0.010,
2009-04,0.007,
2009-07,0.010,
2009-10,0.125,
2010-01,0.008,
2010-04,0.004,
2010-07,0.004,
2010-10,0.074,
2011-01,0.003,
2011-04,0.002,
2011-07,0.004,
2011-10,0.013,
2012-01,0.004,
2012-04,0.003,
2012-07,0.005,
2012-10,0.067,
2013-01,0.014,
2013-04,0.003,
2013-07,0.002,
2013-10,0.036,
2014-01,0.002,
2014-04,0.001,
2014-07,0.002,
