"",BBK01.OEAA51G,BBK01.OEAA51G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:15:40,
2002-01,6.464,
2002-04,6.276,
2002-07,7.668,
2002-10,4.999,
2003-01,5.900,
2003-04,7.257,
2003-07,4.208,
2003-10,5.277,
2004-01,5.112,
2004-04,4.796,
2004-07,4.181,
2004-10,5.438,
2005-01,4.124,
2005-04,3.945,
2005-07,4.602,
2005-10,4.227,
2006-01,5.301,
2006-04,5.679,
2006-07,6.878,
2006-10,7.086,
2007-01,8.648,
2007-04,12.442,
2007-07,14.665,
2007-10,19.721,
2008-01,17.789,
2008-04,13.426,
2008-07,14.050,
2008-10,16.192,
2009-01,16.055,
2009-04,16.971,
2009-07,20.257,
2009-10,18.824,
2010-01,20.769,
2010-04,22.564,
2010-07,23.195,
2010-10,20.547,
2011-01,21.274,
2011-04,19.151,
2011-07,18.184,
2011-10,15.897,
2012-01,16.661,
2012-04,16.615,
2012-07,17.911,
2012-10,16.336,
2013-01,18.327,
2013-04,14.901,
2013-07,15.689,
2013-10,14.613,
2014-01,16.506,
2014-04,16.026,
2014-07,14.925,
