"",BBK01.TVE302,BBK01.TVE302_FLAGS
"",Money stock M3 / Money stock M2 / Total / Changes,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-26 15:18:33,
1997-10,14740,
1997-11,30041,
1997-12,87236,
1998-01,-30769,
1998-02,2613,
1998-03,4282,
1998-04,35188,
1998-05,19934,
1998-06,28732,
1998-07,-29455,
1998-08,-7194,
1998-09,12169,
1998-10,14660,
1998-11,46786,
1998-12,132014,
1999-01,33555,
1999-02,-45246,
1999-03,16398,
1999-04,19776,
1999-05,27472,
1999-06,24820,
1999-07,19740,
1999-08,-32891,
1999-09,9571,
1999-10,15243,
1999-11,24907,
1999-12,91258,
2000-01,-6465,
2000-02,-2563,
2000-03,6709,
2000-04,36062,
2000-05,-2805,
2000-06,12485,
2000-07,-5202,
2000-08,-12454,
2000-09,2436,
2000-10,-714,
2000-11,28905,
2000-12,100208,
2001-01,-52718,
2001-02,6479,
2001-03,23605,
2001-04,38163,
2001-05,13522,
2001-06,48035,
2001-07,-7620,
2001-08,-13057,
2001-09,46850,
2001-10,4061,
2001-11,50292,
2001-12,119287,
2002-01,-30291,
2002-02,-10770,
2002-03,26834,
2002-04,40062,
2002-05,28541,
2002-06,47282,
2002-07,-16458,
2002-08,-7195,
2002-09,41846,
2002-10,19572,
2002-11,65256,
2002-12,102630,
2003-01,-33419,
2003-02,27997,
2003-03,56453,
2003-04,48920,
2003-05,64237,
2003-06,29865,
2003-07,-4492,
2003-08,-2743,
2003-09,16625,
2003-10,19942,
2003-11,52144,
2003-12,94033,
2004-01,-30461,
2004-02,2489,
2004-03,33738,
2004-04,33330,
2004-05,35750,
2004-06,30363,
2004-07,19610,
2004-08,-29728,
2004-09,56668,
2004-10,41907,
2004-11,43778,
2004-12,109506,
2005-01,-326,
2005-02,4325,
2005-03,35040,
2005-04,57110,
2005-05,34118,
2005-06,68236,
2005-07,38951,
2005-08,-35589,
2005-09,77639,
2005-10,36978,
2005-11,23598,
2005-12,149502,
2006-01,-31023,
2006-02,20134,
2006-03,59089,
2006-04,108285,
2006-05,7293,
2006-06,64680,
2006-07,-4358,
2006-08,-21691,
2006-09,99190,
2006-10,11158,
2006-11,69079,
2006-12,201458,
2007-01,-57786,
2007-02,6801,
2007-03,124351,
2007-04,48613,
2007-05,51981,
2007-06,94318,
2007-07,41970,
2007-08,-19607,
2007-09,102547,
2007-10,60158,
2007-11,62230,
2007-12,159782,
2008-01,-30595,
2008-02,27750,
2008-03,80687,
2008-04,79127,
2008-05,61317,
2008-06,49526,
2008-07,10698,
2008-08,-1805,
2008-09,71642,
2008-10,102726,
2008-11,49964,
2008-12,104805,
2009-01,-65481,
2009-02,-7534,
2009-03,11077,
2009-04,71143,
2009-05,3568,
2009-06,28432,
2009-07,-15849,
2009-08,-15434,
2009-09,9931,
2009-10,26253,
2009-11,-6777,
2009-12,93080,
2010-01,-44367,
2010-02,-32457,
2010-03,-2019,
2010-04,56210,
2010-05,17660,
2010-06,20958,
2010-07,15276,
2010-08,3557,
2010-09,16731,
2010-10,36770,
2010-11,-2154,
2010-12,90431,
2011-01,-40805,
2011-02,-20482,
2011-03,27013,
2011-04,50616,
2011-05,-8052,
2011-06,31043,
2011-07,104,
2011-08,10251,
2011-09,25947,
2011-10,-4356,
2011-11,1358,
2011-12,99052,
2012-01,-27149,
2012-02,11298,
2012-03,69078,
2012-04,-1679,
2012-05,19788,
2012-06,58999,
2012-07,20306,
2012-08,-3629,
2012-09,43067,
2012-10,63663,
2012-11,29571,
2012-12,95226,
2013-01,-35257,
2013-02,9911,
2013-03,57978,
2013-04,54069,
2013-05,11579,
2013-06,25696,
2013-07,-7031,
2013-08,27423,
2013-09,-1259,
2013-10,22040,
2013-11,33910,
2013-12,15175,
2014-01,-39674,
2014-02,14430,
2014-03,38524,
2014-04,27949,
2014-05,57758,
2014-06,23078,
2014-07,15012,
2014-08,40655,
2014-09,14721,
2014-10,8794,
2014-11,90524,
2014-12,31707,
2015-01,28904,
