"",BBSF2.M.1.T.00000.TOT01.I.F.INV.FR.00000.F05200.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.INV.FR.00000.F05200.Z01.00_FLAGS
"",Funds total / Funds total / Investment fund shares / France,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:20,
2009-09,2189,
2009-10,2103,
2009-11,2207,
2009-12,2378,
2010-01,2334,
2010-02,2527,
2010-03,2514,
2010-04,2757,
2010-05,2522,
2010-06,2447,
2010-07,2574,
2010-08,2712,
2010-09,2811,
2010-10,2899,
2010-11,2883,
2010-12,2925,
2011-01,3008,
2011-02,3090,
2011-03,3235,
2011-04,3604,
2011-05,3381,
2011-06,3124,
2011-07,2919,
2011-08,2541,
2011-09,2213,
2011-10,2475,
2011-11,2287,
2011-12,2266,
2012-01,2393,
2012-02,2520,
2012-03,2535,
2012-04,2537,
2012-05,2409,
2012-06,2570,
2012-07,2839,
2012-08,2938,
2012-09,2991,
2012-10,2913,
2012-11,2911,
2012-12,2977,
2013-01,3171,
2013-02,3250,
2013-03,3330,
2013-04,3266,
2013-05,3216,
2013-06,3552,
2013-07,3103,
2013-08,3061,
2013-09,3219,
2013-10,3206,
2013-11,3172,
2013-12,3187,
2014-01,3237,
2014-02,3451,
2014-03,3579,
2014-04,3735,
2014-05,3981,
2014-06,4132,
2014-07,4107,
2014-08,4005,
2014-09,3921,
2014-10,3731,
2014-11,4032,
