"",BBK01.OEBL04P,BBK01.OEBL04P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:23,
2002-01,0.142,
2002-04,0.126,
2002-07,0.126,
2002-10,0.121,
2003-01,0.103,
2003-04,0.087,
2003-07,0.073,
2003-10,0.067,
2004-01,0.066,
2004-04,0.066,
2004-07,0.062,
2004-10,0.064,
2005-01,0.064,
2005-04,0.067,
2005-07,0.062,
2005-10,0.064,
2006-01,0.066,
2006-04,0.067,
2006-07,0.080,
2006-10,0.103,
2007-01,0.113,
2007-04,0.129,
2007-07,0.171,
2007-10,0.223,
2008-01,0.257,
2008-04,0.289,
2008-07,0.364,
2008-10,0.421,
2009-01,0.351,
2009-04,0.303,
2009-07,0.228,
2009-10,0.183,
2010-01,0.136,
2010-04,0.111,
2010-07,0.061,
2010-10,0.051,
2011-01,0.058,
2011-04,0.067,
2011-07,0.067,
2011-10,0.125,
2012-01,0.193,
2012-04,0.191,
2012-07,0.183,
2012-10,0.134,
2013-01,0.103,
2013-04,0.101,
2013-07,0.085,
2013-10,0.067,
2014-01,0.055,
2014-04,0.030,
2014-07,0.022,
