"",BBFB1.Q.N.DE.S3.S1.S1.T.D.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.S3.S1.S1.T.D.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Expenditure / Near and Middle East countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:33:38,
1991-01,194.836,
1991-04,213.149,
1991-07,231.766,
1991-10,153.546,
1992-01,173.446,
1992-04,147.540,
1992-07,154.159,
1992-10,171.931,
1993-01,200.504,
1993-04,157.601,
1993-07,180.668,
1993-10,178.105,
1994-01,197.227,
1994-04,174.363,
1994-07,177.946,
1994-10,174.696,
1995-01,191.919,
1995-04,175.542,
1995-07,174.244,
1995-10,187.781,
1996-01,189.772,
1996-04,188.046,
1996-07,192.846,
1996-10,180.459,
1997-01,161.085,
1997-04,173.184,
1997-07,179.331,
1997-10,167.200,
1998-01,172.064,
1998-04,164.289,
1998-07,183.847,
1998-10,173.675,
1999-01,167.361,
1999-04,162.314,
1999-07,177.112,
1999-10,174.998,
2000-01,172.970,
2000-04,173.226,
2000-07,166.738,
2000-10,172.828,
2001-01,189.342,
2001-04,194.602,
2001-07,262.634,
2001-10,242.449,
2002-01,224.667,
2002-04,242.218,
2002-07,192.015,
2002-10,194.523,
2003-01,179.095,
2003-04,185.246,
2003-07,175.500,
2003-10,197.389,
2004-01,189.942,
2004-04,185.079,
2004-07,346.474,
2004-10,170.615,
2005-01,211.075,
2005-04,209.922,
2005-07,186.967,
2005-10,178.873,
2006-01,167.502,
2006-04,165.051,
2006-07,168.689,
2006-10,168.627,
2007-01,163.822,
2007-04,160.584,
2007-07,181.532,
2007-10,171.513,
2008-01,183.632,
2008-04,164.156,
2008-07,183.283,
2008-10,178.164,
2009-01,168.184,
2009-04,189.829,
2009-07,225.299,
2009-10,189.289,
2010-01,154.184,
2010-04,232.644,
2010-07,236.154,
2010-10,233.581,
2011-01,192.916,
2011-04,182.077,
2011-07,214.375,
2011-10,204.761,
2012-01,223.546,
2012-04,202.865,
2012-07,344.339,
2012-10,196.379,
2013-01,163.276,
2013-04,170.971,
2013-07,185.634,
2013-10,243.518,
2014-01,135.416,Provisional value
2014-04,151.643,Provisional value
2014-07,172.872,Provisional value
