"",BBK01.OELI04R,BBK01.OELI04R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:48,
2002-01,0.358,
2002-04,0.334,
2002-07,0.314,
2002-10,0.317,
2003-01,0.308,
2003-04,0.279,
2003-07,0.278,
2003-10,0.298,
2004-01,0.289,
2004-04,0.284,
2004-07,0.294,
2004-10,0.303,
2005-01,0.295,
2005-04,0.289,
2005-07,0.299,
2005-10,0.311,
2006-01,0.288,
2006-04,0.332,
2006-07,0.339,
2006-10,0.352,
2007-01,0.388,
2007-04,0.397,
2007-07,0.411,
2007-10,0.418,
2008-01,0.435,
2008-04,0.437,
2008-07,0.456,
2008-10,0.496,
2009-01,0.506,
2009-04,0.449,
2009-07,0.404,
2009-10,0.387,
2010-01,0.376,
2010-04,0.355,
2010-07,0.352,
2010-10,0.374,
2011-01,0.369,
2011-04,0.349,
2011-07,0.343,
2011-10,0.357,
2012-01,0.341,
2012-04,0.357,
2012-07,0.348,
2012-10,0.334,
2013-01,0.312,
2013-04,0.301,
2013-07,0.285,
2013-10,0.276,
2014-01,0.264,
2014-04,0.252,
2014-07,0.258,
