"",BBK01.OEXI05I,BBK01.OEXI05I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:54,
2002-01,2.024,
2002-04,1.934,
2002-07,1.959,
2002-10,1.985,
2003-01,1.933,
2003-04,1.932,
2003-07,1.892,
2003-10,1.948,
2004-01,1.937,
2004-04,1.864,
2004-07,1.842,
2004-10,1.874,
2005-01,2.091,
2005-04,2.141,
2005-07,2.377,
2005-10,1.766,
2006-01,1.893,
2006-04,1.862,
2006-07,1.755,
2006-10,1.791,
2007-01,1.799,
2007-04,1.800,
2007-07,1.866,
2007-10,1.926,
2008-01,1.932,
2008-04,1.889,
2008-07,1.884,
2008-10,1.917,
2009-01,2.015,
2009-04,1.370,
2009-07,1.379,
2009-10,1.404,
2010-01,1.452,
2010-04,1.462,
2010-07,1.496,
2010-10,4.318,
2011-01,5.474,
2011-04,5.815,
2011-07,6.199,
2011-10,6.966,
2012-01,7.715,
2012-04,7.913,
2012-07,8.026,
2012-10,8.103,
2013-01,8.182,
2013-04,8.208,
2013-07,8.254,
2013-10,8.357,
2014-01,8.399,
2014-04,8.550,
2014-07,8.552,
