"",BBFB1.Q.N.DE.MX.S1.S1.T.A.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.MX.S1.S1.T.A.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Portfolio investment / Net / Mexico,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:46:02,
1991-01,55.894,
1991-04,76.560,
1991-07,-5.356,
1991-10,7.709,
1992-01,-53.801,
1992-04,-10.103,
1992-07,64.643,
1992-10,-20.415,
1993-01,7.197,
1993-04,195.111,
1993-07,-168.383,
1993-10,-28.577,
1994-01,41.759,
1994-04,51.381,
1994-07,12.845,
1994-10,15.847,
1995-01,26.849,
1995-04,-76.890,
1995-07,0.742,
1995-10,304.657,
1996-01,236.423,
1996-04,-35.608,
1996-07,469.883,
1996-10,-24.302,
1997-01,-216.769,
1997-04,27.343,
1997-07,45.806,
1997-10,-104.076,
1998-01,47.035,
1998-04,-74.528,
1998-07,-23.470,
1998-10,85.126,
1999-01,72.856,
1999-04,33.440,
1999-07,40.910,
1999-10,-62.429,
2000-01,150.953,
2000-04,-47.639,
2000-07,-9.827,
2000-10,-344.635,
2001-01,385.646,
2001-04,58.534,
2001-07,-118.577,
2001-10,-35.120,
2002-01,124.686,
2002-04,63.912,
2002-07,119.710,
2002-10,-32.287,
2003-01,-138.133,
2003-04,167.205,
2003-07,26.355,
2003-10,-28.271,
2004-01,82.659,
2004-04,37.483,
2004-07,-110.398,
2004-10,149.714,
2005-01,139.775,
2005-04,174.722,
2005-07,-46.909,
2005-10,-74.968,
2006-01,430.020,
2006-04,-20.333,
2006-07,-510.463,
2006-10,-349.939,
2007-01,54.556,
2007-04,153.102,
2007-07,-229.318,
2007-10,121.209,
2008-01,39.859,
2008-04,11.231,
2008-07,83.254,
2008-10,-165.257,
2009-01,-147.858,
2009-04,24.925,
2009-07,112.731,
2009-10,274.918,
2010-01,-38.231,
2010-04,429.053,
2010-07,471.883,
2010-10,274.326,
2011-01,338.931,
2011-04,346.910,
2011-07,78.308,
2011-10,356.029,
2012-01,164.018,
2012-04,50.586,
2012-07,451.387,
2012-10,356.154,
2013-01,162.397,
2013-04,410.768,
2013-07,622.148,
2013-10,643.321,
2014-01,283.676,Provisional value
2014-04,1404.167,Provisional value
2014-07,363.723,Provisional value
2014-10,223.214,Provisional value
