"",BBK01.OECI05L,BBK01.OECI05L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:47,
2002-01,49.021,
2002-04,47.443,
2002-07,32.649,
2002-10,33.891,
2003-01,34.033,
2003-04,33.733,
2003-07,32.739,
2003-10,35.084,
2004-01,31.304,
2004-04,30.691,
2004-07,36.490,
2004-10,35.496,
2005-01,37.340,
2005-04,38.132,
2005-07,38.129,
2005-10,30.684,
2006-01,28.253,
2006-04,30.881,
2006-07,31.207,
2006-10,31.845,
2007-01,29.250,
2007-04,29.890,
2007-07,31.912,
2007-10,32.699,
2008-01,33.515,
2008-04,34.851,
2008-07,35.323,
2008-10,47.545,
2009-01,47.553,
2009-04,41.099,
2009-07,39.866,
2009-10,40.413,
2010-01,37.394,
2010-04,37.355,
2010-07,38.730,
2010-10,38.796,
2011-01,36.936,
2011-04,35.394,
2011-07,35.302,
2011-10,34.956,
2012-01,34.140,
2012-04,34.401,
2012-07,33.398,
2012-10,32.477,
2013-01,35.288,
2013-04,35.621,
2013-07,35.454,
2013-10,34.553,
2014-01,35.280,
2014-04,34.632,
2014-07,34.487,
