"",BBK01.OEXI05O,BBK01.OEXI05O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:56,
2002-01,-16.104,
2002-04,-15.834,
2002-07,-15.906,
2002-10,-15.889,
2003-01,-15.296,
2003-04,-15.003,
2003-07,-15.129,
2003-10,-14.473,
2004-01,-14.138,
2004-04,-13.804,
2004-07,-13.392,
2004-10,-13.236,
2005-01,0.115,
2005-04,0.371,
2005-07,0.519,
2005-10,0.461,
2006-01,0.400,
2006-04,0.365,
2006-07,0.532,
2006-10,0.590,
2007-01,0.556,
2007-04,0.560,
2007-07,0.612,
2007-10,0.538,
2008-01,0.543,
2008-04,0.553,
2008-07,0.566,
2008-10,0.413,
2009-01,0.858,
2009-04,0.809,
2009-07,0.762,
2009-10,0.851,
2010-01,0.408,
2010-04,0.510,
2010-07,0.423,
2010-10,0.365,
2011-01,0.273,
2011-04,0.318,
2011-07,0.352,
2011-10,0.353,
2012-01,0.328,
2012-04,0.365,
2012-07,0.398,
2012-10,0.422,
2013-01,0.454,
2013-04,0.609,
2013-07,0.596,
2013-10,0.609,
2014-01,0.578,
2014-04,0.578,
2014-07,0.559,
