"",BBK01.OELB11O,BBK01.OELB11O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:31,
2002-01,0.389,
2002-04,0.372,
2002-07,0.361,
2002-10,0.364,
2003-01,0.349,
2003-04,0.339,
2003-07,0.328,
2003-10,0.320,
2004-01,0.323,
2004-04,0.309,
2004-07,0.307,
2004-10,0.300,
2005-01,0.283,
2005-04,0.281,
2005-07,0.269,
2005-10,0.270,
2006-01,0.270,
2006-04,0.276,
2006-07,0.278,
2006-10,0.280,
2007-01,0.288,
2007-04,0.292,
2007-07,0.298,
2007-10,0.292,
2008-01,0.289,
2008-04,0.292,
2008-07,0.313,
2008-10,0.327,
2009-01,0.321,
2009-04,0.323,
2009-07,0.359,
2009-10,0.353,
2010-01,0.357,
2010-04,0.351,
2010-07,0.373,
2010-10,0.381,
2011-01,0.375,
2011-04,0.381,
2011-07,0.391,
2011-10,0.401,
2012-01,0.408,
2012-04,0.438,
2012-07,0.466,
2012-10,0.474,
2013-01,0.462,
2013-04,0.459,
2013-07,0.491,
2013-10,0.506,
2014-01,0.514,
2014-04,0.528,
2014-07,0.540,
