"",BBK01.OECB11L,BBK01.OECB11L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:28,
2002-01,1.833,
2002-04,1.904,
2002-07,1.910,
2002-10,1.231,
2003-01,1.159,
2003-04,0.959,
2003-07,0.810,
2003-10,0.706,
2004-01,0.706,
2004-04,0.795,
2004-07,0.861,
2004-10,0.722,
2005-01,1.257,
2005-04,1.426,
2005-07,1.508,
2005-10,2.181,
2006-01,2.365,
2006-04,2.605,
2006-07,2.563,
2006-10,2.741,
2007-01,6.314,
2007-04,6.410,
2007-07,6.339,
2007-10,6.597,
2008-01,6.635,
2008-04,6.620,
2008-07,6.448,
2008-10,6.211,
2009-01,5.589,
2009-04,6.542,
2009-07,6.055,
2009-10,6.161,
2010-01,3.936,
2010-04,3.935,
2010-07,3.779,
2010-10,3.861,
2011-01,3.924,
2011-04,3.728,
2011-07,3.631,
2011-10,3.140,
2012-01,3.193,
2012-04,3.128,
2012-07,2.967,
2012-10,2.916,
2013-01,2.886,
2013-04,2.668,
2013-07,2.716,
2013-10,2.479,
2014-01,2.334,
2014-04,2.298,
2014-07,2.217,
