"",BBK01.CEFC201,BBK01.CEFC201_FLAGS
"",Financial derivatives  debtor: Domestic financial corporations                                   creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:34:18,
1999-01,416.9,
1999-04,463.3,
1999-07,461.8,
1999-10,460.2,
2000-01,461.8,
2000-04,463.3,
2000-07,518.3,
2000-10,573.4,
2001-01,610.1,
2001-04,646.8,
2001-07,714.1,
2001-10,781.3,
2002-01,817.3,
2002-04,836.8,
2002-07,931.1,
2002-10,960.4,
2003-01,1034.9,
2003-04,1071.4,
2003-07,1021.7,
2003-10,968.7,
2004-01,1118.1,
2004-04,1033.6,
2004-07,1031.6,
2004-10,1039.8,
2005-01,1098.8,
2005-04,1116.7,
2005-07,1171.9,
2005-10,1172.6,
2006-01,1226.3,
2006-04,1248.0,
2006-07,1223.9,
2006-10,1220.5,
2007-01,1332.9,
2007-04,1443.1,
2007-07,1479.6,
2007-10,1531.6,
2008-01,1710.9,
2008-04,1625.4,
2008-07,1812.4,
2008-10,1904.3,
2009-01,1991.1,
2009-04,1312.1,
2009-07,1248.4,
2009-10,1143.3,
2010-01,1233.1,
2010-04,1504.4,
2010-07,1371.3,
2010-10,1012.4,
2011-01,793.4,
2011-04,759.5,
2011-07,1192.1,
2011-10,1142.6,
2012-01,1052.4,
2012-04,1165.6,
2012-07,1158.6,
2012-10,1048.9,
2013-01,955.2,
2013-04,779.0,
2013-07,721.1,
2013-10,657.1,
2014-01,640.5,
2014-04,682.9,
2014-07,771.2,
