"",BBK01.OEHM07M,BBK01.OEHM07M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:42:04,
2002-01,0.149,
2002-04,0.137,
2002-07,0.137,
2002-10,0.130,
2003-01,0.137,
2003-04,0.134,
2003-07,0.136,
2003-10,0.137,
2004-01,0.137,
2004-04,0.130,
2004-07,0.127,
2004-10,0.131,
2005-01,0.127,
2005-04,0.134,
2005-07,0.126,
2005-10,0.130,
2006-01,0.133,
2006-04,0.130,
2006-07,0.127,
2006-10,0.129,
2007-01,0.115,
2007-04,0.114,
2007-07,0.111,
2007-10,0.106,
2008-01,0.104,
2008-04,0.092,
2008-07,0.088,
2008-10,0.103,
2009-01,0.116,
2009-04,0.130,
2009-07,0.125,
2009-10,0.130,
2010-01,0.141,
2010-04,0.140,
2010-07,0.131,
2010-10,0.125,
2011-01,0.114,
2011-04,0.114,
2011-07,0.114,
2011-10,0.117,
2012-01,0.114,
2012-04,0.119,
2012-07,0.125,
2012-10,0.125,
2013-01,0.127,
2013-04,0.115,
2013-07,0.114,
2013-10,0.117,
2014-01,0.116,
2014-04,0.103,
2014-07,0.109,
