"",BBK01.OEAC05V,BBK01.OEAC05V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:03,
2002-01,3.243,
2002-04,3.235,
2002-07,3.141,
2002-10,3.087,
2003-01,2.954,
2003-04,2.640,
2003-07,2.614,
2003-10,2.625,
2004-01,2.590,
2004-04,2.535,
2004-07,2.450,
2004-10,2.384,
2005-01,2.344,
2005-04,2.294,
2005-07,2.185,
2005-10,2.147,
2006-01,2.128,
2006-04,2.097,
2006-07,1.967,
2006-10,1.990,
2007-01,2.006,
2007-04,1.994,
2007-07,1.955,
2007-10,1.946,
2008-01,1.940,
2008-04,1.820,
2008-07,1.814,
2008-10,1.771,
2009-01,1.817,
2009-04,1.825,
2009-07,1.804,
2009-10,1.692,
2010-01,1.644,
2010-04,1.645,
2010-07,1.628,
2010-10,1.628,
2011-01,1.614,
2011-04,1.626,
2011-07,1.630,
2011-10,1.636,
2012-01,1.655,
2012-04,1.852,
2012-07,1.878,
2012-10,1.890,
2013-01,1.917,
2013-04,1.916,
2013-07,1.926,
2013-10,1.928,
2014-01,1.892,
2014-04,1.910,
2014-07,1.916,
