"",BBK01.CEF305,BBK01.CEF305_FLAGS
"",Debt securities                                  debtor: Total           creditor: OFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:35:34,
1999-01,1.7,
1999-04,2.0,
1999-07,2.4,
1999-10,2.7,
2000-01,2.9,
2000-04,3.4,
2000-07,3.5,
2000-10,3.8,
2001-01,4.0,
2001-04,4.2,
2001-07,4.7,
2001-10,4.7,
2002-01,4.7,
2002-04,4.7,
2002-07,4.4,
2002-10,4.4,
2003-01,4.1,
2003-04,3.9,
2003-07,3.7,
2003-10,4.3,
2004-01,4.2,
2004-04,4.2,
2004-07,4.1,
2004-10,3.5,
2005-01,3.5,
2005-04,3.5,
2005-07,3.5,
2005-10,3.3,
2006-01,13.3,
2006-04,13.5,
2006-07,13.7,
2006-10,12.4,
2007-01,11.2,
2007-04,12.0,
2007-07,9.9,
2007-10,9.0,
2008-01,10.5,
2008-04,9.1,
2008-07,8.9,
2008-10,9.3,
2009-01,11.6,
2009-04,24.9,
2009-07,21.4,
2009-10,30.6,
2010-01,23.5,
2010-04,42.6,
2010-07,39.8,
2010-10,28.6,
2011-01,22.1,
2011-04,23.3,
2011-07,8.7,
2011-10,8.4,
2012-01,7.3,
2012-04,7.5,
2012-07,9.3,
2012-10,11.4,
2013-01,12.4,
2013-04,12.7,
2013-07,12.6,
2013-10,12.7,
2014-01,12.7,
2014-04,12.6,
2014-07,12.8,
