"",BBK01.OEXL02H,BBK01.OEXL02H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:53,
2002-01,12.119,
2002-04,11.652,
2002-07,12.217,
2002-10,13.211,
2003-01,13.687,
2003-04,13.868,
2003-07,12.522,
2003-10,12.824,
2004-01,13.467,
2004-04,8.497,
2004-07,8.362,
2004-10,8.240,
2005-01,8.722,
2005-04,9.436,
2005-07,10.069,
2005-10,10.383,
2006-01,11.085,
2006-04,12.052,
2006-07,11.358,
2006-10,11.496,
2007-01,12.583,
2007-04,13.468,
2007-07,13.802,
2007-10,13.190,
2008-01,13.744,
2008-04,13.274,
2008-07,12.906,
2008-10,12.743,
2009-01,13.706,
2009-04,13.918,
2009-07,14.556,
2009-10,15.091,
2010-01,15.842,
2010-04,16.062,
2010-07,15.728,
2010-10,15.422,
2011-01,15.707,
2011-04,16.365,
2011-07,17.008,
2011-10,16.661,
2012-01,16.966,
2012-04,17.626,
2012-07,18.239,
2012-10,18.627,
2013-01,19.966,
2013-04,21.122,
2013-07,21.427,
2013-10,22.094,
2014-01,22.566,
2014-04,23.270,
2014-07,24.000,
