"",BBK01.OEAG04V,BBK01.OEAG04V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:41,
2002-01,5.385,
2002-04,5.424,
2002-07,5.463,
2002-10,5.438,
2003-01,5.392,
2003-04,5.448,
2003-07,5.688,
2003-10,5.731,
2004-01,5.731,
2004-04,5.690,
2004-07,5.572,
2004-10,5.609,
2005-01,5.617,
2005-04,5.511,
2005-07,5.430,
2005-10,5.318,
2006-01,5.297,
2006-04,4.950,
2006-07,4.904,
2006-10,4.780,
2007-01,4.713,
2007-04,4.642,
2007-07,4.554,
2007-10,4.339,
2008-01,4.348,
2008-04,3.587,
2008-07,3.510,
2008-10,3.599,
2009-01,3.449,
2009-04,3.501,
2009-07,3.572,
2009-10,3.444,
2010-01,3.454,
2010-04,3.446,
2010-07,3.830,
2010-10,3.893,
2011-01,3.975,
2011-04,3.949,
2011-07,3.927,
2011-10,3.984,
2012-01,3.935,
2012-04,4.177,
2012-07,4.204,
2012-10,4.293,
2013-01,4.278,
2013-04,4.316,
2013-07,4.346,
2013-10,4.372,
2014-01,4.486,
2014-04,4.218,
2014-07,4.178,
