"",BBDR1.Q.DE.N.VDP.VSGWGESK.P.I03.A,BBDR1.Q.DE.N.VDP.VSGWGESK.P.I03.A_FLAGS
"",Verband deutscher Pfandbriefbanken / Index for owner occupied housing / Germany / Unadjusted figure,
unit,2003=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-16 14:35:38,
2003-01,100.4,
2003-04,99.7,
2003-07,99.6,
2003-10,100.2,
2004-01,100.1,
2004-04,100.7,
2004-07,100.6,
2004-10,101.3,
2005-01,105.0,
2005-04,103.5,
2005-07,104.7,
2005-10,104.0,
2006-01,103.2,
2006-04,104.6,
2006-07,105.6,
2006-10,104.5,
2007-01,103.9,
2007-04,103.8,
2007-07,104.5,
2007-10,104.7,
2008-01,106.9,
2008-04,107.7,
2008-07,107.1,
2008-10,107.8,
2009-01,107.6,
2009-04,106.5,
2009-07,106.5,
2009-10,107.0,
2010-01,106.0,
2010-04,107.2,
2010-07,108.0,
2010-10,108.6,
2011-01,109.3,
2011-04,109.7,
2011-07,110.9,
2011-10,111.1,
2012-01,112.0,
2012-04,113.5,
2012-07,113.9,
2012-10,114.9,
2013-01,115.8,
2013-04,117.2,
2013-07,118.2,
2013-10,117.7,
2014-01,118.6,
2014-04,120.1,
2014-07,121.9,
2014-10,122.8,
"",Methodology: This is indeed a house price index rather than a genuine index on owner occupied housing.,
