"",BBK01.OEBB03O,BBK01.OEBB03O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:47,
2002-01,-0.337,
2002-04,-0.396,
2002-07,-0.207,
2002-10,0.068,
2003-01,-0.084,
2003-04,0.025,
2003-07,0.057,
2003-10,0.066,
2004-01,-0.243,
2004-04,-0.793,
2004-07,-0.882,
2004-10,-3.385,
2005-01,1.016,
2005-04,1.000,
2005-07,0.980,
2005-10,1.000,
2006-01,0.995,
2006-04,0.872,
2006-07,0.907,
2006-10,0.911,
2007-01,0.925,
2007-04,0.998,
2007-07,0.962,
2007-10,0.976,
2008-01,1.017,
2008-04,1.070,
2008-07,1.033,
2008-10,1.010,
2009-01,1.129,
2009-04,1.490,
2009-07,1.470,
2009-10,1.453,
2010-01,1.241,
2010-04,1.323,
2010-07,1.530,
2010-10,1.575,
2011-01,1.411,
2011-04,1.391,
2011-07,1.372,
2011-10,1.309,
2012-01,1.540,
2012-04,1.677,
2012-07,1.636,
2012-10,1.668,
2013-01,1.621,
2013-04,1.560,
2013-07,1.554,
2013-10,1.402,
2014-01,1.505,
2014-04,1.509,
2014-07,1.531,
