"",BBEX3.A.CVE.EUR.CA.AC.A04,BBEX3.A.CVE.EUR.CA.AC.A04_FLAGS
"",Exchange rates for the euro in Cabo Verde / EUR 1 = CVE ... (buying and selling),
unit,CVE (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-19 15:13:39,
1999,110.265,
2000,110.265,
2001,110.265,
2002,110.265,
2003,110.265,
2004,110.265,
2005,110.265,
2006,110.265,
2007,110.265,
2008,110.265,
2009,110.265,
2010,110.265,
2011,110.265,
2012,110.265,
2013,110.265,
2014,110.265,
"",General: The Cabo Verde escudo is pegged to the euro.,
"","Source: Banco de Cabo Verde, Praia.",
