"",BBK01.CEFFI3,BBK01.CEFFI3_FLAGS
"",long-term loans                                               debtor: Households (incl. NPISH) creditor: MFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:31:58,
1999-01,1196.9,
1999-04,1219.3,
1999-07,1241.4,
1999-10,1259.7,
2000-01,1265.8,
2000-04,1277.0,
2000-07,1290.3,
2000-10,1301.5,
2001-01,1302.4,
2001-04,1308.6,
2001-07,1317.4,
2001-10,1324.5,
2002-01,1323.0,
2002-04,1330.5,
2002-07,1337.4,
2002-10,1343.6,
2003-01,1344.6,
2003-04,1348.8,
2003-07,1357.7,
2003-10,1363.6,
2004-01,1356.5,
2004-04,1363.9,
2004-07,1373.4,
2004-10,1377.4,
2005-01,1369.4,
2005-04,1374.1,
2005-07,1380.1,
2005-10,1383.2,
2006-01,1384.3,
2006-04,1386.0,
2006-07,1389.4,
2006-10,1385.6,
2007-01,1377.5,
2007-04,1373.7,
2007-07,1373.0,
2007-10,1366.7,
2008-01,1357.2,
2008-04,1357.4,
2008-07,1356.1,
2008-10,1352.3,
2009-01,1343.9,
2009-04,1347.5,
2009-07,1352.7,
2009-10,1355.8,
2010-01,1350.7,
2010-04,1353.7,
2010-07,1359.4,
2010-10,1362.0,
2011-01,1358.4,
2011-04,1362.6,
2011-07,1374.1,
2011-10,1377.3,
2012-01,1375.3,
2012-04,1380.6,
2012-07,1388.2,
2012-10,1392.5,
2013-01,1391.2,
2013-04,1396.8,
2013-07,1404.7,
2013-10,1408.2,
2014-01,1407.8,
2014-04,1413.4,
2014-07,1424.0,
