"",BBK01.OEAM02K,BBK01.OEAM02K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:38:17,
2002-01,0.437,
2002-04,0.591,
2002-07,0.604,
2002-10,0.534,
2003-01,0.582,
2003-04,0.912,
2003-07,0.379,
2003-10,0.345,
2004-01,0.566,
2004-04,0.712,
2004-07,0.772,
2004-10,0.345,
2005-01,0.538,
2005-04,0.680,
2005-07,0.496,
2005-10,0.382,
2006-01,0.816,
2006-04,0.732,
2006-07,0.617,
2006-10,0.509,
2007-01,0.483,
2007-04,0.544,
2007-07,0.513,
2007-10,1.169,
2008-01,0.681,
2008-04,1.498,
2008-07,0.877,
2008-10,1.395,
2009-01,1.473,
2009-04,2.346,
2009-07,1.877,
2009-10,2.103,
2010-01,2.224,
2010-04,2.350,
2010-07,1.789,
2010-10,1.543,
2011-01,1.767,
2011-04,1.312,
2011-07,1.346,
2011-10,1.193,
2012-01,2.112,
2012-04,2.020,
2012-07,2.044,
2012-10,1.403,
2013-01,1.939,
2013-04,1.611,
2013-07,1.842,
2013-10,1.253,
2014-01,1.861,
2014-04,1.604,
2014-07,1.793,
