"",BBK01.CEH40X,BBK01.CEH40X_FLAGS
"",Loans debtor: All sectors                    creditor: Other financial intermediaries,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:21:00,
1991-01,0.2,
1991-04,0.1,
1991-07,0.5,
1991-10,0.2,
1992-01,0.3,
1992-04,0.5,
1992-07,0.6,
1992-10,-1.2,
1993-01,1.3,
1993-04,0.1,
1993-07,0.0,
1993-10,0.1,
1994-01,1.8,
1994-04,1.3,
1994-07,-0.8,
1994-10,-0.2,
1995-01,0.4,
1995-04,-0.1,
1995-07,0.6,
1995-10,0.5,
1996-01,2.6,
1996-04,0.0,
1996-07,2.1,
1996-10,6.5,
1997-01,8.7,
1997-04,0.8,
1997-07,-3.4,
1997-10,-1.0,
1998-01,13.0,
1998-04,1.4,
1998-07,-7.3,
1998-10,1.5,
1999-01,-10.6,
1999-04,26.8,
1999-07,-17.3,
1999-10,5.0,
2000-01,22.5,
2000-04,22.2,
2000-07,-24.7,
2000-10,0.8,
2001-01,35.9,
2001-04,-3.0,
2001-07,-13.5,
2001-10,-11.8,
2002-01,-4.7,
2002-04,-11.1,
2002-07,1.7,
2002-10,4.8,
2003-01,8.4,
2003-04,-3.3,
2003-07,-8.6,
2003-10,-7.9,
2004-01,8.1,
2004-04,4.4,
2004-07,-1.9,
2004-10,-7.7,
2005-01,8.7,
2005-04,1.7,
2005-07,11.7,
2005-10,-5.7,
2006-01,15.5,
2006-04,1.2,
2006-07,-0.1,
2006-10,-8.8,
2007-01,7.7,
2007-04,15.9,
2007-07,-9.1,
2007-10,-16.3,
2008-01,7.5,
2008-04,8.4,
2008-07,-0.9,
2008-10,8.3,
2009-01,-6.8,
2009-04,7.1,
2009-07,-6.1,
2009-10,12.2,
2010-01,4.6,
2010-04,7.8,
2010-07,-0.6,
2010-10,2.9,
2011-01,9.1,
2011-04,-0.2,
2011-07,17.9,
2011-10,-12.6,
2012-01,14.9,
2012-04,-5.9,
2012-07,-0.8,
2012-10,13.0,
2013-01,2.6,
2013-04,24.5,
2013-07,-6.0,
2013-10,-3.5,
2014-01,12.0,
