"",BBK01.OELM03K,BBK01.OELM03K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:42:39,
2002-01,0.003,
2002-04,0.003,
2002-07,0.003,
2002-10,0.003,
2003-01,0.004,
2003-04,0.004,
2003-07,0.006,
2003-10,0.008,
2004-01,0.008,
2004-04,0.083,
2004-07,0.110,
2004-10,0.127,
2005-01,0.241,
2005-04,0.012,
2005-07,0.375,
2005-10,0.335,
2006-01,0.594,
2006-04,0.627,
2006-07,0.825,
2006-10,0.726,
2007-01,1.103,
2007-04,0.864,
2007-07,0.513,
2007-10,0.523,
2008-01,0.414,
2008-04,0.319,
2008-07,0.461,
2008-10,0.531,
2009-01,0.080,
2009-04,0.037,
2009-07,0.029,
2009-10,0.064,
2010-01,0.021,
2010-04,0.081,
2010-07,0.060,
2010-10,0.110,
2011-01,0.087,
2011-04,0.063,
2011-07,0.061,
2011-10,0.056,
2012-01,0.037,
2012-04,0.063,
2012-07,0.040,
2012-10,0.037,
2013-01,0.027,
2013-04,0.168,
2013-07,0.087,
2013-10,0.053,
2014-01,0.042,
2014-04,0.105,
2014-07,0.093,
