"",BBK01.OEBL04Q,BBK01.OEBL04Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:23,
2002-01,0.834,
2002-04,0.807,
2002-07,0.862,
2002-10,0.790,
2003-01,0.729,
2003-04,0.710,
2003-07,0.662,
2003-10,0.826,
2004-01,0.862,
2004-04,0.865,
2004-07,1.137,
2004-10,0.972,
2005-01,0.957,
2005-04,0.920,
2005-07,0.956,
2005-10,1.056,
2006-01,1.350,
2006-04,1.512,
2006-07,1.808,
2006-10,1.972,
2007-01,2.031,
2007-04,2.179,
2007-07,2.401,
2007-10,2.749,
2008-01,3.023,
2008-04,3.174,
2008-07,3.685,
2008-10,3.559,
2009-01,2.634,
2009-04,2.211,
2009-07,1.725,
2009-10,1.261,
2010-01,0.965,
2010-04,0.846,
2010-07,0.692,
2010-10,0.607,
2011-01,0.594,
2011-04,0.603,
2011-07,0.602,
2011-10,0.673,
2012-01,0.672,
2012-04,0.623,
2012-07,0.575,
2012-10,0.507,
2013-01,0.464,
2013-04,0.504,
2013-07,0.515,
2013-10,0.547,
2014-01,0.548,
2014-04,0.510,
2014-07,0.494,
