"",BBK01.OEAA12G,BBK01.OEAA12G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:15:24,
2002-01,0.886,
2002-04,0.854,
2002-07,0.850,
2002-10,0.766,
2003-01,0.747,
2003-04,0.734,
2003-07,0.740,
2003-10,0.671,
2004-01,0.645,
2004-04,0.647,
2004-07,0.589,
2004-10,0.504,
2005-01,0.539,
2005-04,0.540,
2005-07,0.483,
2005-10,0.427,
2006-01,0.410,
2006-04,0.403,
2006-07,0.377,
2006-10,0.316,
2007-01,0.326,
2007-04,0.332,
2007-07,0.297,
2007-10,0.260,
2008-01,0.261,
2008-04,0.231,
2008-07,0.201,
2008-10,0.235,
2009-01,0.188,
2009-04,0.152,
2009-07,0.142,
2009-10,0.162,
2010-01,0.131,
2010-04,0.113,
2010-07,0.110,
2010-10,0.119,
2011-01,0.130,
2011-04,0.113,
2011-07,0.124,
2011-10,0.175,
2012-01,0.118,
2012-04,0.103,
2012-07,0.099,
2012-10,0.139,
2013-01,0.073,
2013-04,0.088,
2013-07,0.069,
2013-10,0.101,
2014-01,0.073,
2014-04,0.084,
2014-07,0.054,
