"",BBK01.OEHB10M,BBK01.OEHB10M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:59,
2002-01,3.486,
2002-04,3.501,
2002-07,3.533,
2002-10,3.440,
2003-01,3.604,
2003-04,3.579,
2003-07,3.434,
2003-10,3.175,
2004-01,3.174,
2004-04,3.189,
2004-07,3.122,
2004-10,2.867,
2005-01,2.980,
2005-04,2.903,
2005-07,2.841,
2005-10,2.638,
2006-01,2.816,
2006-04,2.778,
2006-07,2.765,
2006-10,2.596,
2007-01,2.711,
2007-04,2.794,
2007-07,2.837,
2007-10,2.835,
2008-01,2.992,
2008-04,2.920,
2008-07,3.053,
2008-10,2.843,
2009-01,3.098,
2009-04,3.097,
2009-07,2.943,
2009-10,2.667,
2010-01,2.800,
2010-04,2.743,
2010-07,2.740,
2010-10,2.613,
2011-01,2.693,
2011-04,2.663,
2011-07,2.626,
2011-10,2.403,
2012-01,2.627,
2012-04,2.550,
2012-07,2.755,
2012-10,2.596,
2013-01,2.704,
2013-04,2.684,
2013-07,2.658,
2013-10,2.441,
2014-01,2.487,
2014-04,2.501,
2014-07,2.528,
